# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^1 ,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,5,0.06517,0.118808,0.0,0.059778,0.031966,0.091656,0,False,False
10^1 ,10.0,10,0.073153,0.159928,0.0,0.091469,0.033235,0.123571,0,False,True
10^1 ,10.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,45,0.013962,0.074292,0.000488,0.058932,0.002347,0.056589,0,False,False
10^1 ,10.0,50,0.013315,0.104041,0.007117,0.08766,0.016719,0.072726,0,False,False
10^1 ,10.0,55,0.013436,0.121143,0.009804,0.098864,0.017846,0.083738,0,False,True
10^1 ,10.0,60,0.050625,0.13525,0.037614,0.088299,0.016291,0.080135,0,False,True
10^1 ,10.0,65,0.058586,0.140807,0.044471,0.080583,0.014612,0.075394,0,False,False
10^1 ,10.0,70,0.06131,0.141665,0.047039,0.074278,0.01347,0.07021,0,False,False
10^1 ,10.0,75,0.059688,0.141037,0.047757,0.06928,0.01788,0.064987,0,False,False
10^1 ,10.0,80,0.05773,0.139266,0.047713,0.065001,0.022606,0.061073,0,False,False
10^1 ,10.0,85,0.050779,0.095425,0.044519,0.036205,0.025247,0.03873,0,False,False
10^1 ,10.0,90,0.043493,0.056236,0.037317,0.019179,0.027285,0.039305,0,False,False
10^1 ,10.0,95,0.033009,0.031567,0.027297,0.022563,0.02919,0.045596,0,False,False
10^1 ,10.0,100,0.010623,0.01362,0.003392,0.014142,0.032838,0.045537,0,False,False
