# SECTION 1 — PER-TIMEPOINT BREAKDOWN
# sd_flag=1 when SD criteria met at that timepoint,# slope_score=weighted slope score at that timepoint (0–6),# contribution=sd_flag + slope_score,# cumulative=running total from t=0
group,concentration_cfu_ml,time_min,sd_flag,slope_score,contribution,cumulative_total
10^5,100000.0,110,0,3.0,3.0,7.0
10^5,100000.0,115,0,4.0,4.0,11.0
10^5,100000.0,120,0,1.0,1.0,12.0
10^6,1000000.0,0,0,0.0,0.0,0.0
10^6,1000000.0,5,0,0.0,0.0,0.0
10^6,1000000.0,10,0,0.0,0.0,0.0
10^6,1000000.0,15,0,0.0,0.0,0.0
10^6,1000000.0,20,0,0.0,0.0,0.0
10^6,1000000.0,25,0,0.0,0.0,0.0
10^6,1000000.0,30,0,0.0,0.0,0.0
10^6,1000000.0,35,0,0.0,0.0,0.0
10^6,1000000.0,40,0,0.0,0.0,0.0
10^6,1000000.0,45,0,0.0,0.0,0.0
10^6,1000000.0,50,0,2.0,2.0,2.0
10^6,1000000.0,55,0,2.0,2.0,4.0
10^6,1000000.0,60,0,0.0,0.0,4.0
10^6,1000000.0,65,0,0.0,0.0,4.0
10^6,1000000.0,70,0,1.0,1.0,5.0
10^6,1000000.0,75,0,3.0,3.0,8.0
10^6,1000000.0,80,0,6.0,6.0,14.0
10^6,1000000.0,85,0,6.0,6.0,20.0
10^6,1000000.0,90,0,4.0,4.0,24.0
10^6,1000000.0,95,0,4.0,4.0,28.0
10^6,1000000.0,100,0,4.0,4.0,32.0
10^6,1000000.0,105,0,4.0,4.0,36.0
10^6,1000000.0,110,0,4.0,4.0,40.0
10^6,1000000.0,115,1,4.0,5.0,45.0
10^6,1000000.0,120,0,0.0,0.0,45.0
10^6,1000000.0,125,0,6.0,6.0,51.0
10^7,10000000.0,0,0,0.0,0.0,0.0
10^7,10000000.0,5,0,0.0,0.0,0.0
10^7,10000000.0,10,0,0.0,0.0,0.0
10^7,10000000.0,15,0,0.0,0.0,0.0
10^7,10000000.0,20,0,0.0,0.0,0.0
10^7,10000000.0,25,0,0.0,0.0,0.0
10^7,10000000.0,30,0,0.0,0.0,0.0
10^7,10000000.0,35,0,0.0,0.0,0.0
10^7,10000000.0,40,0,0.0,0.0,0.0
10^7,10000000.0,45,0,0.0,0.0,0.0
10^7,10000000.0,50,0,4.0,4.0,4.0
10^7,10000000.0,55,0,2.0,2.0,6.0
10^7,10000000.0,60,0,0.0,0.0,6.0
10^7,10000000.0,65,0,2.0,2.0,8.0
10^7,10000000.0,70,1,1.0,2.0,10.0
10^7,10000000.0,75,1,6.0,7.0,17.0
10^7,10000000.0,80,1,6.0,7.0,24.0
10^7,10000000.0,85,1,4.0,5.0,29.0
10^7,10000000.0,90,1,4.0,5.0,34.0
10^7,10000000.0,95,1,4.0,5.0,39.0
10^7,10000000.0,100,1,4.0,5.0,44.0
10^7,10000000.0,105,1,4.0,5.0,49.0
10^7,10000000.0,110,1,4.0,5.0,54.0
10^7,10000000.0,115,1,5.0,6.0,60.0
10^7,10000000.0,120,1,2.0,3.0,63.0
10^8 (Positive Control),100000000.0,0,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,5,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,10,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,15,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,20,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,25,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,30,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,35,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,40,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,45,0,0.0,0.0,0.0
10^8 (Positive Control),100000000.0,50,0,4.0,4.0,4.0
10^8 (Positive Control),100000000.0,55,0,6.0,6.0,10.0
10^8 (Positive Control),100000000.0,60,0,6.0,6.0,16.0
10^8 (Positive Control),100000000.0,65,1,4.0,5.0,21.0
10^8 (Positive Control),100000000.0,70,1,4.0,5.0,26.0
10^8 (Positive Control),100000000.0,75,1,3.0,4.0,30.0
10^8 (Positive Control),100000000.0,80,1,2.0,3.0,33.0
10^8 (Positive Control),100000000.0,85,1,2.0,3.0,36.0
10^8 (Positive Control),100000000.0,90,0,4.0,4.0,40.0
10^8 (Positive Control),100000000.0,95,0,4.0,4.0,44.0
10^8 (Positive Control),100000000.0,100,0,4.0,4.0,48.0
10^8 (Positive Control),100000000.0,105,0,4.0,4.0,52.0
10^8 (Positive Control),100000000.0,110,0,0.0,0.0,52.0
10^8 (Positive Control),100000000.0,115,0,3.0,3.0,55.0
10^8 (Positive Control),100000000.0,120,0,1.0,1.0,56.0
0 (Sterile Negative Control),0.0,0,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,5,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,10,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,15,0,0.0,0.0,0.0
