name,concentration_cfu_ml,ground_truth_positive,overall_positive,total_detection_score,load_tier,concordance_status,concordance_discordance_min,sd_detected,sd_first_detection_min,sd_event_count,slope_detected,slope_first_detection_min,slope_total_score,likert_detected,likert_first_detection_min,likert_event_count,rg_auc,rb_auc,gb_auc,time_to_ratio_threshold,rate_of_change_rg,final_RG_ratio,final_RB_ratio,final_GB_ratio
10^1 ,10.0,False,False,42.0,negative,concordant_negative,,False,,0,False,,42.0,False,,0,204.2645,88.355,52.4422,15,0.0026,1.7765431628284625,0.8043603984214204,0.4527671539466627
10^2,100.0,False,False,33.0,negative,concordant_negative,,False,,0,False,,33.0,False,,0,184.0038,90.7842,59.5382,15,0.0026,1.6067337263717563,0.8245787211379227,0.5132018466108702
10^3,1000.0,False,False,39.0,negative,concordant_negative,,False,,0,False,,39.0,False,,0,163.9401,94.1634,69.4014,,0.0002,1.4089249256151963,0.8461325657971501,0.6005519148110736
10^4,10000.0,False,False,17.0,negative,concordant_negative,,False,,0,False,,17.0,False,,0,129.3251,105.6858,98.2473,,-0.0027,1.0619050732872573,0.9286522932732459,0.8745153553122721
10^5,100000.0,True,False,12.0,negative,concordant_negative,,False,,0,False,,12.0,False,,0,171.0108,95.7009,67.1084,15,0.0021,1.4993451586461806,0.889033869297094,0.5929481008707224
10^6,1000000.0,True,True,51.0,moderate (≥10^6),algorithm_discordant,,False,,1,True,80,50.0,False,,0,208.2702,103.2118,65.1115,15,0.0016,2.2242860199819527,0.7511952249363527,0.33772419874012144
10^7,10000000.0,True,True,69.0,moderate (≥10^6),concordant_positive,5.0,True,70,11,True,75,52.0,True,95,6,296.8805,134.0436,53.3576,10,0.0034,3.326107431659583,1.6285353043242499,0.48962197463798934
10^8 (Positive Control),100000000.0,True,True,72.0,heavy  (≥10^7),concordant_positive,10.0,True,65,5,True,55,51.0,True,45,16,198.1969,165.9769,100.2694,15,-0.0142,1.6564756735598904,1.5447767513636015,0.9325683275766757
0 (Sterile Negative Control),0.0,False,False,6.0,negative,concordant_negative,,False,,0,False,,6.0,False,,0,126.1974,115.149,109.5767,,-0.0018,1.031886291846066,0.974248267323796,0.9441430462604646
