# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^1 ,10.0,0,1,114.2,False
10^1 ,10.0,5,1,92.38,False
10^1 ,10.0,10,1,80.64,False
10^1 ,10.0,15,1,70.72,False
10^1 ,10.0,20,1,70.98,False
10^1 ,10.0,25,1,68.97,False
10^1 ,10.0,30,1,70.4,False
10^1 ,10.0,35,1,70.32,False
10^1 ,10.0,40,1,74.4,False
10^1 ,10.0,45,1,72.02,False
10^1 ,10.0,50,1,69.76,False
10^1 ,10.0,55,1,68.66,False
10^1 ,10.0,60,1,48.83,False
10^1 ,10.0,65,1,48.62,False
10^1 ,10.0,70,1,48.23,False
10^1 ,10.0,75,1,49.69,False
10^1 ,10.0,80,1,49.74,False
10^1 ,10.0,85,1,49.74,False
10^1 ,10.0,90,1,49.82,False
10^1 ,10.0,95,1,49.02,False
10^1 ,10.0,100,1,50.32,False
10^1 ,10.0,105,1,51.01,False
10^1 ,10.0,110,1,71.61,False
10^1 ,10.0,115,1,70.89,False
10^1 ,10.0,120,1,68.29,False
10^2,100.0,0,1,117.52,False
10^2,100.0,5,1,103.0,False
10^2,100.0,10,1,90.88,False
10^2,100.0,15,1,66.53,False
10^2,100.0,20,1,67.03,False
10^2,100.0,25,1,64.86,False
10^2,100.0,30,1,66.55,False
10^2,100.0,35,1,66.63,False
10^2,100.0,40,1,81.38,False
10^2,100.0,45,1,76.42,False
10^2,100.0,50,1,71.81,False
10^2,100.0,55,1,69.23,False
10^2,100.0,60,1,45.43,False
10^2,100.0,65,1,44.76,False
10^2,100.0,70,1,43.65,False
10^2,100.0,75,1,44.86,False
10^2,100.0,80,1,44.52,False
10^2,100.0,85,1,44.24,False
10^2,100.0,90,1,44.3,False
10^2,100.0,95,1,43.67,False
10^2,100.0,100,1,45.09,False
10^2,100.0,105,1,45.96,False
10^2,100.0,110,1,67.46,False
10^2,100.0,115,1,66.91,False
10^2,100.0,120,1,64.08,False
10^3,1000.0,0,1,141.89,False
10^3,1000.0,5,1,120.7,False
10^3,1000.0,10,1,104.93,False
10^3,1000.0,15,1,81.0,False
10^3,1000.0,20,1,81.03,False
10^3,1000.0,25,1,79.73,False
10^3,1000.0,30,1,81.1,False
10^3,1000.0,35,1,81.13,False
10^3,1000.0,40,1,93.82,False
10^3,1000.0,45,1,87.38,False
10^3,1000.0,50,1,82.46,False
10^3,1000.0,55,1,80.21,False
10^3,1000.0,60,1,58.84,False
10^3,1000.0,65,1,57.8,False
10^3,1000.0,70,1,56.41,False
10^3,1000.0,75,1,57.23,False
10^3,1000.0,80,1,56.97,False
10^3,1000.0,85,1,56.85,False
10^3,1000.0,90,1,57.29,False
10^3,1000.0,95,1,56.84,False
10^3,1000.0,100,1,58.37,False
10^3,1000.0,105,1,59.34,False
10^3,1000.0,110,1,81.0,False
10^3,1000.0,115,1,80.56,False
10^3,1000.0,120,1,78.69,False
10^4,10000.0,0,1,175.46,False
10^4,10000.0,5,1,158.38,False
10^4,10000.0,10,1,143.24,False
10^4,10000.0,15,1,124.94,False
10^4,10000.0,20,1,124.11,False
10^4,10000.0,25,1,124.1,False
10^4,10000.0,30,1,125.05,False
10^4,10000.0,35,1,125.1,False
10^4,10000.0,40,1,131.24,False
10^4,10000.0,45,1,123.71,False
10^4,10000.0,50,1,118.07,False
10^4,10000.0,55,1,115.64,False
10^4,10000.0,60,1,106.26,False
10^4,10000.0,65,1,105.98,False
10^4,10000.0,70,1,105.48,False
10^4,10000.0,75,1,107.14,False
10^4,10000.0,80,1,107.15,False
10^4,10000.0,85,1,106.71,False
10^4,10000.0,90,1,106.77,False
10^4,10000.0,95,1,105.51,False
10^4,10000.0,100,1,106.92,False
10^4,10000.0,105,1,106.48,False
10^4,10000.0,110,1,124.93,False
10^4,10000.0,115,1,124.85,False
10^4,10000.0,120,1,123.74,False
10^5,100000.0,0,1,98.97,False
10^5,100000.0,5,1,83.68,False
10^5,100000.0,10,1,73.54,False
10^5,100000.0,15,1,69.65,False
10^5,100000.0,20,1,70.36,False
10^5,100000.0,25,1,69.37,False
10^5,100000.0,30,1,71.04,False
10^5,100000.0,35,1,71.59,False
10^5,100000.0,40,1,67.98,False
10^5,100000.0,45,1,64.08,False
10^5,100000.0,50,1,62.23,False
10^5,100000.0,55,1,59.65,False
10^5,100000.0,60,1,32.56,False
10^5,100000.0,65,1,33.17,False
10^5,100000.0,70,1,32.56,False
10^5,100000.0,75,1,38.59,False
10^5,100000.0,80,1,39.28,False
10^5,100000.0,85,1,39.48,False
10^5,100000.0,90,1,39.98,False
10^5,100000.0,95,1,39.49,False
10^5,100000.0,100,1,41.0,False
10^5,100000.0,105,1,41.65,False
10^5,100000.0,110,1,69.0,False
10^5,100000.0,115,1,68.83,False
10^5,100000.0,120,1,67.26,False
10^6,1000000.0,0,1,91.97,False
10^6,1000000.0,5,1,71.03,False
10^6,1000000.0,10,1,57.25,False
10^6,1000000.0,15,1,63.24,False
10^6,1000000.0,20,1,64.81,False
10^6,1000000.0,25,1,64.28,False
10^6,1000000.0,30,1,67.12,False
10^6,1000000.0,35,1,68.58,False
10^6,1000000.0,40,1,50.03,False
10^6,1000000.0,45,1,45.83,False
10^6,1000000.0,50,1,45.06,False
10^6,1000000.0,55,1,44.31,False
10^6,1000000.0,60,1,24.93,False
10^6,1000000.0,65,1,26.33,False
10^6,1000000.0,70,1,27.03,False
10^6,1000000.0,75,1,29.12,False
10^6,1000000.0,80,1,30.12,False
10^6,1000000.0,85,1,31.09,False
10^6,1000000.0,90,1,32.32,False
10^6,1000000.0,95,1,33.01,False
10^6,1000000.0,100,1,35.17,False
10^6,1000000.0,105,1,36.88,False
10^6,1000000.0,110,1,60.15,False
10^6,1000000.0,115,1,61.0,False
10^6,1000000.0,120,4,132.92,False
10^6,1000000.0,125,1,59.84,False
10^7,10000000.0,0,1,76.83,False
10^7,10000000.0,5,1,55.21,False
10^7,10000000.0,10,1,45.96,False
10^7,10000000.0,15,4,63.27,False
10^7,10000000.0,20,4,63.53,False
10^7,10000000.0,25,4,62.82,False
10^7,10000000.0,30,4,63.07,False
10^7,10000000.0,35,4,63.1,False
10^7,10000000.0,40,1,45.14,False
10^7,10000000.0,45,1,44.86,False
10^7,10000000.0,50,1,46.89,False
10^7,10000000.0,55,1,47.8,False
10^7,10000000.0,60,2,30.39,False
10^7,10000000.0,65,2,32.99,False
10^7,10000000.0,70,2,35.24,False
10^7,10000000.0,75,2,42.08,False
10^7,10000000.0,80,1,45.71,False
10^7,10000000.0,85,1,50.56,False
10^7,10000000.0,90,1,58.95,False
10^7,10000000.0,95,4,60.43,True
10^7,10000000.0,100,4,44.38,True
10^7,10000000.0,105,4,35.8,True
10^7,10000000.0,110,4,63.25,True
10^7,10000000.0,115,4,63.0,True
10^7,10000000.0,120,4,62.54,True
10^8 (Positive Control),100000000.0,0,1,139.48,False
10^8 (Positive Control),100000000.0,5,1,123.99,False
10^8 (Positive Control),100000000.0,10,1,116.86,False
10^8 (Positive Control),100000000.0,15,5,102.93,False
10^8 (Positive Control),100000000.0,20,5,101.28,False
10^8 (Positive Control),100000000.0,25,5,101.45,False
10^8 (Positive Control),100000000.0,30,5,101.85,False
10^8 (Positive Control),100000000.0,35,5,101.76,False
10^8 (Positive Control),100000000.0,40,1,114.7,False
10^8 (Positive Control),100000000.0,45,4,112.84,True
10^8 (Positive Control),100000000.0,50,4,108.63,True
10^8 (Positive Control),100000000.0,55,4,109.11,True
10^8 (Positive Control),100000000.0,60,4,94.22,True
10^8 (Positive Control),100000000.0,65,4,93.64,True
10^8 (Positive Control),100000000.0,70,4,92.65,True
10^8 (Positive Control),100000000.0,75,4,94.59,True
10^8 (Positive Control),100000000.0,80,4,93.25,True
10^8 (Positive Control),100000000.0,85,4,91.91,True
10^8 (Positive Control),100000000.0,90,4,90.67,True
10^8 (Positive Control),100000000.0,95,4,88.63,True
10^8 (Positive Control),100000000.0,100,4,87.65,True
10^8 (Positive Control),100000000.0,105,4,87.57,True
10^8 (Positive Control),100000000.0,110,5,104.29,True
10^8 (Positive Control),100000000.0,115,5,103.53,True
10^8 (Positive Control),100000000.0,120,5,102.33,True
0 (Sterile Negative Control),0.0,0,1,191.11,False
0 (Sterile Negative Control),0.0,5,1,178.57,False
0 (Sterile Negative Control),0.0,10,1,169.28,False
0 (Sterile Negative Control),0.0,15,1,137.32,False
