group,concentration_cfu_ml,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio,reagent_normalized
10^1 ,10.0,0,168.0305,151.6717,255.0,1.112796,0.7183,0.645491,True
10^1 ,10.0,5,153.2263,128.1628,255.0,1.211023,0.686546,0.566914,True
10^1 ,10.0,10,145.6453,110.2097,255.0,1.335422,0.67354,0.504365,True
10^1 ,10.0,15,151.2988,69.849,236.1672,1.78534,0.812372,0.455024,True
10^1 ,10.0,20,151.0131,69.3759,236.8762,1.76887,0.81215,0.459135,True
10^1 ,10.0,25,149.4487,69.7096,235.6501,1.746768,0.813483,0.465707,True
10^1 ,10.0,30,151.1822,69.7605,235.7238,1.748726,0.817845,0.467681,True
10^1 ,10.0,35,151.1998,69.7117,235.5123,1.738174,0.819912,0.471709,True
10^1 ,10.0,40,141.0047,94.7532,255.0,1.49756,0.671868,0.448642,True
10^1 ,10.0,45,138.2477,85.2948,254.8242,1.627797,0.674102,0.414119,True
10^1 ,10.0,50,137.4902,76.9397,251.7862,1.784073,0.692567,0.388194,True
10^1 ,10.0,55,136.7456,72.0467,249.8851,1.876575,0.695354,0.370544,True
10^1 ,10.0,60,123.4742,67.9676,232.5063,1.792777,0.675779,0.376945,True
10^1 ,10.0,65,123.5162,66.8532,231.5584,1.795136,0.680253,0.378942,True
10^1 ,10.0,70,123.3192,66.5674,230.9981,1.786569,0.685156,0.383504,True
10^1 ,10.0,75,125.5329,66.0546,230.8218,1.787722,0.707096,0.395529,True
10^1 ,10.0,80,125.811,65.9154,230.5347,1.778252,0.716891,0.403144,True
10^1 ,10.0,85,125.8209,65.7815,230.4402,1.766472,0.721651,0.408526,True
10^1 ,10.0,90,126.1587,65.6907,230.173,1.755501,0.729075,0.415309,True
10^1 ,10.0,95,124.2472,65.0237,230.3714,1.728748,0.725753,0.419814,True
10^1 ,10.0,100,126.7975,65.2312,230.0209,1.734222,0.739471,0.426399,True
10^1 ,10.0,105,126.8829,64.7638,230.7089,1.728516,0.743695,0.430251,True
10^1 ,10.0,110,151.9344,70.0671,236.964,1.825217,0.806759,0.442007,True
10^1 ,10.0,115,151.5085,69.955,236.224,1.80877,0.808351,0.446906,True
