group,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio
Resazurin Reagent Negative Control,0,233.9281,234.9711,255.0,0.995561,0.917365,0.921455
Resazurin Reagent Negative Control,5,223.1844,226.0709,255.0,0.987232,0.875233,0.886553
Resazurin Reagent Negative Control,10,216.2384,218.5116,255.0,0.989597,0.847994,0.856908
Resazurin Reagent Negative Control,15,201.0948,165.7474,255.0,1.213261,0.788607,0.64999
Resazurin Reagent Negative Control,20,200.169,162.6623,255.0,1.23058,0.784977,0.637891
Resazurin Reagent Negative Control,25,198.8,161.9764,255.0,1.227339,0.779608,0.635202
Resazurin Reagent Negative Control,30,199.9706,161.3603,255.0,1.23928,0.784199,0.632786
Resazurin Reagent Negative Control,35,199.6689,160.0141,255.0,1.247821,0.783015,0.627506
Resazurin Reagent Negative Control,40,209.8695,211.2,255.0,0.993701,0.823018,0.828235
Resazurin Reagent Negative Control,45,205.2257,206.109,255.0,0.995715,0.804807,0.808271
Resazurin Reagent Negative Control,50,201.0565,200.7288,255.0,1.001632,0.788457,0.787172
Resazurin Reagent Negative Control,55,200.6815,198.4149,255.0,1.011423,0.786986,0.778098
Resazurin Reagent Negative Control,60,200.3905,197.7556,255.0,1.013324,0.785845,0.775512
Resazurin Reagent Negative Control,65,199.9554,194.2802,255.0,1.029212,0.784139,0.761883
Resazurin Reagent Negative Control,70,198.6887,191.6126,255.0,1.036929,0.779171,0.751422
Resazurin Reagent Negative Control,75,196.1293,184.4964,255.0,1.063052,0.769134,0.723515
Resazurin Reagent Negative Control,80,194.1195,180.8552,255.0,1.073342,0.761253,0.709236
Resazurin Reagent Negative Control,85,192.9335,178.1826,255.0,1.082785,0.756602,0.698755
Resazurin Reagent Negative Control,90,191.7037,175.234,255.0,1.093987,0.751779,0.687192
Resazurin Reagent Negative Control,95,189.5001,171.4456,255.0,1.105308,0.743138,0.672336
Resazurin Reagent Negative Control,100,190.0913,169.5943,255.0,1.120859,0.745456,0.665076
Resazurin Reagent Negative Control,105,188.575,166.3744,255.0,1.133437,0.73951,0.652449
Resazurin Reagent Negative Control,110,202.661,170.5859,255.0,1.188029,0.794749,0.668964
Resazurin Reagent Negative Control,115,202.3267,168.9735,255.0,1.197388,0.793438,0.662641
Resazurin Reagent Negative Control,120,200.4516,166.6627,255.0,1.202738,0.786085,0.653579
