group,N,total_detection_score_mean,rg_auc_mean,rb_auc_mean,gb_auc_mean,final_RG_ratio_mean,final_RB_ratio_mean,final_GB_ratio_mean,time_to_ratio_threshold_mean,total_detection_score_sd,rg_auc_sd,rb_auc_sd,gb_auc_sd,final_RG_ratio_sd,final_RB_ratio_sd,final_GB_ratio_sd,time_to_ratio_threshold_sd
0 (negative),4,27.5,128.86239999999998,114.72287500000002,107.291075,1.0909088328073033,1.0040159779731028,0.9276412920079654,,16.98038083593337,6.382605341081337,3.382618376716473,8.198973859524536,0.10201581749422406,0.044809389253688936,0.10900863426036635,
10^1,4,22.75,155.98242499999998,104.35125000000001,84.0207,1.4116810870929348,0.9106727283716551,0.6632450689705389,15.0,15.478479684172259,32.54892627664544,13.898848994191328,22.28722737010296,0.26996004864920065,0.11242105878643756,0.14149485752677263,
10^2,4,26.5,158.4736,99.943025,77.63225,1.4548220734324646,0.8738265294948131,0.6035265377837624,15.0,13.723459233492601,18.54326239635303,9.84915424266639,15.63219860704181,0.10219915268565959,0.07045032736215134,0.07148847196874185,
10^3,4,35.75,141.92227499999998,102.947375,88.56245,1.2540189227242005,0.888230009652445,0.7180838526625144,,16.899211026948368,16.191154946734553,5.960365453211186,13.546905968153764,0.14835383072674047,0.038646881454862524,0.11159193678363193,
10^4,4,26.25,126.398075,111.76645,107.31417499999999,1.0601861261131769,0.9642418812829131,0.9267174829747281,,14.660036380127666,7.614054509206429,13.572575181224824,20.358531565476422,0.1229671429084211,0.08696821711529233,0.20078156193886962,
10^5,4,23.25,146.04492499999998,107.038025,91.5928,1.2890452132987027,0.9527748463354156,0.7714217451659525,15.0,19.414341777836988,23.144663123259463,20.707231250841655,31.706400552885217,0.21776414161245625,0.15317778911961408,0.2618628868667309,
10^6,4,34.5,173.74437500000002,115.43435000000001,92.068275,1.802165083481503,0.7039917877766111,0.4074340805772845,51.666666666666664,11.387127235025815,40.794867954713375,24.210056871542733,39.95620993215573,0.3961040680778752,0.06724434889907158,0.10835777916520968,63.50852961085884
10^7,4,53.75,212.2018,137.89592499999998,90.07617499999999,2.253445613802761,1.444802393258922,0.7787513259321166,13.333333333333334,12.685293322058685,75.99711809224522,19.40291130756327,46.0194716183179,1.0181472229196638,0.1568510709249697,0.4474081425487386,2.8867513459481287
10^8,4,75.75,189.13494999999998,175.6789,115.281925,1.7051244727057455,1.698412972134994,1.0538517881386196,15.0,6.946221994724902,27.78966732072673,22.88952389951934,33.301937665284576,0.40010269420608063,0.24323690081789545,0.368574025175603,0.0
