# DETECTION EVENTS — timepoints where each algorithm's criteria were met
group,concentration_cfu_ml,sd_event_count,sd_event_timepoints_min,sd_detected,sd_first_detection_min,slope_event_count,slope_event_timepoints_min,slope_detected,slope_first_detection_min,slope_total_score,likert_event_count,likert_event_timepoints_min,likert_detected,likert_first_detection_min,total_detection_score,concordance_status,concordance_discordance_min
10^1 ,10.0,0,,False,,0,,False,,26.0,0,,False,,26.0,concordant_negative,
10^2,100.0,0,,False,,0,,False,,20.0,0,,False,,20.0,concordant_negative,
10^3,1000.0,0,,False,,5,95;100;105;110;115,True,95,52.0,0,,False,,52.0,algorithm_discordant,
10^4,10000.0,0,,False,,0,,False,,18.0,0,,False,,18.0,concordant_negative,
10^5,100000.0,0,,False,,0,,False,,18.0,0,,False,,18.0,concordant_negative,
10^6,1000000.0,2,120;125,True,120,0,,False,,22.0,1,120,False,,25.0,algorithm_discordant,
10^7,10000000.0,0,,False,,0,,False,,26.0,12,65;70;75;80;85;90;95;100;105;110;115;120,True,65,38.0,concordant_negative,
10^8 (Positive Control),100000000.0,4,75;80;85;120,True,75,1,90,False,,57.0,19,0;5;10;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120,True,0,80.0,algorithm_discordant,
0 (Sterile Negative Control),0.0,0,,False,,0,,False,,22.0,0,,False,,22.0,concordant_negative,
