group,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio
Resazurin Reagent Negative Control,0,166.4524,167.9261,211.1147,0.991224,0.788445,0.795426
Resazurin Reagent Negative Control,5,164.1691,161.6981,212.9767,1.015281,0.770831,0.759229
Resazurin Reagent Negative Control,10,156.3215,152.3312,211.3674,1.026195,0.739573,0.720694
Resazurin Reagent Negative Control,15,110.5788,78.7558,182.0222,1.404072,0.607502,0.432671
Resazurin Reagent Negative Control,20,109.8942,77.6102,181.7035,1.415976,0.604799,0.427126
Resazurin Reagent Negative Control,25,109.6075,76.5263,181.7832,1.432286,0.602957,0.420975
Resazurin Reagent Negative Control,30,109.3054,75.2892,181.9598,1.451806,0.600712,0.413768
Resazurin Reagent Negative Control,35,108.8868,74.1711,181.8161,1.468049,0.598884,0.407946
Resazurin Reagent Negative Control,40,155.1264,148.0074,209.3477,1.048098,0.740999,0.706993
Resazurin Reagent Negative Control,45,151.0188,142.2551,208.4556,1.061605,0.724465,0.682424
Resazurin Reagent Negative Control,50,146.9673,137.1612,207.3011,1.071493,0.708956,0.661652
Resazurin Reagent Negative Control,55,142.7463,131.9928,206.0807,1.08147,0.692672,0.640491
Resazurin Reagent Negative Control,60,141.0196,128.7201,205.1955,1.095552,0.687245,0.627304
Resazurin Reagent Negative Control,65,136.7152,123.7534,204.1487,1.104738,0.669684,0.606193
Resazurin Reagent Negative Control,70,136.2741,121.6299,203.7903,1.1204,0.668697,0.596838
Resazurin Reagent Negative Control,75,133.611,118.0044,203.247,1.132254,0.657382,0.580596
Resazurin Reagent Negative Control,80,131.979,115.1488,202.5705,1.14616,0.651521,0.568438
Resazurin Reagent Negative Control,85,130.2821,112.4001,202.094,1.159093,0.644661,0.556177
Resazurin Reagent Negative Control,90,128.6949,109.6926,201.6461,1.173233,0.638222,0.543986
Resazurin Reagent Negative Control,95,127.0873,107.0286,201.6705,1.187415,0.630173,0.53071
Resazurin Reagent Negative Control,100,125.7997,104.8845,201.0731,1.199412,0.625642,0.521624
Resazurin Reagent Negative Control,105,124.6761,102.8933,201.0856,1.211703,0.620015,0.511689
Resazurin Reagent Negative Control,110,123.6573,100.8488,200.6559,1.226165,0.616265,0.502596
Resazurin Reagent Negative Control,115,122.7547,98.9016,200.4162,1.24118,0.612499,0.493481
Resazurin Reagent Negative Control,120,111.082,80.467,182.2769,1.380466,0.609413,0.441455
