# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^1 ,10.0,0,1,115.13,False
10^1 ,10.0,5,1,103.62,False
10^1 ,10.0,10,1,84.34,False
10^1 ,10.0,15,1,39.67,False
10^1 ,10.0,20,1,40.01,False
10^1 ,10.0,25,1,40.22,False
10^1 ,10.0,30,1,40.81,False
10^1 ,10.0,35,1,40.7,False
10^1 ,10.0,40,1,75.85,False
10^1 ,10.0,45,1,67.65,False
10^1 ,10.0,50,1,61.96,False
10^1 ,10.0,55,1,57.46,False
10^1 ,10.0,60,1,55.64,False
10^1 ,10.0,65,1,52.48,False
10^1 ,10.0,70,1,51.99,False
10^1 ,10.0,75,1,50.91,False
10^1 ,10.0,80,1,50.56,False
10^1 ,10.0,85,1,50.25,False
10^1 ,10.0,90,1,50.01,False
10^1 ,10.0,95,1,50.21,False
10^1 ,10.0,100,1,50.42,False
10^1 ,10.0,105,1,50.61,False
10^1 ,10.0,110,1,50.61,False
10^1 ,10.0,115,1,50.58,False
10^1 ,10.0,120,1,39.42,False
10^2,100.0,0,1,115.35,False
10^2,100.0,5,1,94.93,False
10^2,100.0,10,1,75.48,False
10^2,100.0,15,1,34.9,False
10^2,100.0,20,1,35.31,False
10^2,100.0,25,1,35.59,False
10^2,100.0,30,1,35.98,False
10^2,100.0,35,1,36.13,False
10^2,100.0,40,1,66.56,False
10^2,100.0,45,1,58.67,False
10^2,100.0,50,1,51.91,False
10^2,100.0,55,1,46.61,False
10^2,100.0,60,1,44.93,False
10^2,100.0,65,1,42.49,False
10^2,100.0,70,1,42.62,False
10^2,100.0,75,1,41.7,False
10^2,100.0,80,1,41.32,False
10^2,100.0,85,1,40.74,False
10^2,100.0,90,1,40.59,False
10^2,100.0,95,1,40.44,False
10^2,100.0,100,1,40.3,False
10^2,100.0,105,1,40.32,False
10^2,100.0,110,1,40.24,False
10^2,100.0,115,1,40.28,False
10^2,100.0,120,1,34.5,False
10^3,1000.0,0,1,110.27,False
10^3,1000.0,5,1,96.89,False
10^3,1000.0,10,1,71.86,False
10^3,1000.0,15,2,24.4,False
10^3,1000.0,20,2,24.73,False
10^3,1000.0,25,2,24.83,False
10^3,1000.0,30,2,25.27,False
10^3,1000.0,35,2,25.17,False
10^3,1000.0,40,1,56.96,False
10^3,1000.0,45,1,46.51,False
10^3,1000.0,50,1,39.27,False
10^3,1000.0,55,1,33.72,False
10^3,1000.0,60,1,31.52,False
10^3,1000.0,65,1,28.57,False
10^3,1000.0,70,1,28.81,False
10^3,1000.0,75,1,28.03,False
10^3,1000.0,80,1,28.18,False
10^3,1000.0,85,1,27.89,False
10^3,1000.0,90,1,28.05,False
10^3,1000.0,95,1,28.21,False
