# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^3,1000.0,100,1,28.01,False
10^3,1000.0,105,1,28.25,False
10^3,1000.0,110,1,28.52,False
10^3,1000.0,115,1,28.52,False
10^3,1000.0,120,2,24.25,False
10^4,10000.0,0,1,123.47,False
10^4,10000.0,5,1,122.3,False
10^4,10000.0,10,1,109.73,False
10^4,10000.0,15,1,40.52,False
10^4,10000.0,20,1,40.94,False
10^4,10000.0,25,1,41.08,False
10^4,10000.0,30,1,41.21,False
10^4,10000.0,35,1,41.59,False
10^4,10000.0,40,1,105.19,False
10^4,10000.0,45,1,100.48,False
10^4,10000.0,50,1,96.44,False
10^4,10000.0,55,1,93.34,False
10^4,10000.0,60,1,91.92,False
10^4,10000.0,65,1,88.78,False
10^4,10000.0,70,1,88.59,False
10^4,10000.0,75,1,87.04,False
10^4,10000.0,80,1,86.47,False
10^4,10000.0,85,1,85.74,False
10^4,10000.0,90,1,85.5,False
10^4,10000.0,95,1,84.68,False
10^4,10000.0,100,1,84.6,False
10^4,10000.0,105,1,84.42,False
10^4,10000.0,110,1,84.51,False
10^4,10000.0,115,1,84.33,False
10^4,10000.0,120,1,40.57,False
10^5,100000.0,0,1,159.6,False
10^5,100000.0,5,1,152.26,False
10^5,100000.0,10,1,132.81,False
10^5,100000.0,15,1,45.5,False
10^5,100000.0,20,1,46.03,False
10^5,100000.0,25,1,45.69,False
10^5,100000.0,30,1,46.07,False
10^5,100000.0,35,1,46.38,False
10^5,100000.0,40,1,122.41,False
10^5,100000.0,45,1,114.26,False
10^5,100000.0,50,1,108.43,False
10^5,100000.0,55,1,103.38,False
10^5,100000.0,60,1,100.07,False
10^5,100000.0,65,1,96.64,False
10^5,100000.0,70,1,95.99,False
10^5,100000.0,75,1,94.68,False
10^5,100000.0,80,1,93.67,False
10^5,100000.0,85,1,92.88,False
10^5,100000.0,90,1,92.45,False
10^5,100000.0,95,1,92.02,False
10^5,100000.0,100,1,91.34,False
10^5,100000.0,105,1,91.06,False
10^5,100000.0,110,1,90.8,False
10^5,100000.0,115,1,90.63,False
10^5,100000.0,120,1,45.45,False
10^6,1000000.0,0,1,132.7,False
10^6,1000000.0,5,1,127.52,False
10^6,1000000.0,10,1,112.5,False
10^6,1000000.0,15,1,55.51,False
10^6,1000000.0,20,1,55.92,False
10^6,1000000.0,25,1,56.03,False
10^6,1000000.0,30,1,56.5,False
10^6,1000000.0,35,1,57.05,False
10^6,1000000.0,40,1,106.4,False
10^6,1000000.0,45,1,102.67,False
10^6,1000000.0,50,1,99.71,False
10^6,1000000.0,55,1,97.38,False
10^6,1000000.0,60,1,96.57,False
10^6,1000000.0,65,1,94.76,False
10^6,1000000.0,70,1,93.97,False
10^6,1000000.0,75,1,95.4,False
10^6,1000000.0,80,1,95.09,False
10^6,1000000.0,85,1,94.6,False
10^6,1000000.0,90,1,94.5,False
10^6,1000000.0,95,1,94.13,False
10^6,1000000.0,100,1,94.29,False
10^6,1000000.0,105,1,94.68,False
10^6,1000000.0,110,1,94.67,False
10^6,1000000.0,115,1,94.64,False
10^6,1000000.0,120,5,197.66,True
10^6,1000000.0,125,1,54.94,False
10^7,10000000.0,0,1,172.23,False
10^7,10000000.0,5,1,162.2,False
10^7,10000000.0,10,1,154.1,False
10^7,10000000.0,15,4,111.8,False
10^7,10000000.0,20,4,111.26,False
10^7,10000000.0,25,4,110.81,False
10^7,10000000.0,30,4,110.39,False
10^7,10000000.0,35,4,109.95,False
10^7,10000000.0,40,1,153.98,False
10^7,10000000.0,45,1,152.1,False
10^7,10000000.0,50,1,150.33,False
10^7,10000000.0,55,1,149.24,False
10^7,10000000.0,60,1,149.11,False
10^7,10000000.0,65,4,148.45,True
10^7,10000000.0,70,4,147.2,True
10^7,10000000.0,75,4,147.28,True
10^7,10000000.0,80,4,146.37,True
10^7,10000000.0,85,4,145.3,True
10^7,10000000.0,90,4,144.57,True
10^7,10000000.0,95,4,143.86,True
10^7,10000000.0,100,4,143.14,True
10^7,10000000.0,105,4,142.47,True
10^7,10000000.0,110,4,142.01,True
10^7,10000000.0,115,4,141.49,True
10^7,10000000.0,120,4,112.19,True
10^8 (Positive Control),100000000.0,0,4,178.61,True
10^8 (Positive Control),100000000.0,5,4,167.64,True
10^8 (Positive Control),100000000.0,10,4,159.36,True
10^8 (Positive Control),100000000.0,15,5,135.95,False
10^8 (Positive Control),100000000.0,20,5,136.16,False
10^8 (Positive Control),100000000.0,25,5,136.62,False
10^8 (Positive Control),100000000.0,30,5,136.76,False
10^8 (Positive Control),100000000.0,35,5,136.79,False
10^8 (Positive Control),100000000.0,40,4,155.85,False
10^8 (Positive Control),100000000.0,45,4,153.59,True
10^8 (Positive Control),100000000.0,50,4,151.46,True
10^8 (Positive Control),100000000.0,55,4,149.7,True
10^8 (Positive Control),100000000.0,60,4,148.34,True
10^8 (Positive Control),100000000.0,65,4,147.73,True
10^8 (Positive Control),100000000.0,70,4,145.96,True
10^8 (Positive Control),100000000.0,75,5,145.06,True
10^8 (Positive Control),100000000.0,80,5,142.22,True
10^8 (Positive Control),100000000.0,85,5,139.13,True
10^8 (Positive Control),100000000.0,90,5,134.61,True
10^8 (Positive Control),100000000.0,95,5,128.24,True
10^8 (Positive Control),100000000.0,100,5,123.09,True
10^8 (Positive Control),100000000.0,105,5,120.85,True
10^8 (Positive Control),100000000.0,110,5,120.6,True
10^8 (Positive Control),100000000.0,115,5,120.73,True
10^8 (Positive Control),100000000.0,120,5,135.58,True
0 (Sterile Negative Control),0.0,0,1,112.38,False
0 (Sterile Negative Control),0.0,5,1,97.85,False
0 (Sterile Negative Control),0.0,10,1,80.16,False
0 (Sterile Negative Control),0.0,15,1,32.92,False
0 (Sterile Negative Control),0.0,20,1,32.68,False
0 (Sterile Negative Control),0.0,25,1,32.71,False
0 (Sterile Negative Control),0.0,30,1,32.82,False
0 (Sterile Negative Control),0.0,35,1,33.12,False
0 (Sterile Negative Control),0.0,40,1,75.42,False
0 (Sterile Negative Control),0.0,45,1,66.5,False
0 (Sterile Negative Control),0.0,50,1,61.01,False
0 (Sterile Negative Control),0.0,55,1,56.27,False
0 (Sterile Negative Control),0.0,60,1,55.02,False
0 (Sterile Negative Control),0.0,65,1,51.26,False
0 (Sterile Negative Control),0.0,70,1,52.04,False
0 (Sterile Negative Control),0.0,75,1,51.64,False
0 (Sterile Negative Control),0.0,80,1,51.04,False
0 (Sterile Negative Control),0.0,85,1,50.79,False
0 (Sterile Negative Control),0.0,90,1,50.53,False
0 (Sterile Negative Control),0.0,95,1,50.14,False
0 (Sterile Negative Control),0.0,100,1,50.04,False
0 (Sterile Negative Control),0.0,105,1,49.83,False
0 (Sterile Negative Control),0.0,110,1,49.81,False
0 (Sterile Negative Control),0.0,115,1,49.43,False
0 (Sterile Negative Control),0.0,120,1,32.83,False

# LIKERT SCORES — PER-GROUP SUMMARY
group,concentration_cfu_ml,likert_event_count,final_likert_score,detected,first_detection_min
10^1 ,10.0,0,1,False,
10^2,100.0,0,1,False,
10^3,1000.0,0,2,False,
10^4,10000.0,0,1,False,
10^5,100000.0,0,1,False,
10^6,1000000.0,1,1,False,
10^7,10000000.0,12,4,True,65
10^8 (Positive Control),100000000.0,19,5,True,0
0 (Sterile Negative Control),0.0,0,1,False,
