# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^1 ,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,5,0.031122,0.051694,0.009692,0.002828,0.028961,0.031788,0,False,False
10^1 ,10.0,10,0.058015,0.087128,0.006855,0.013249,0.033907,0.045789,0,False,False
10^1 ,10.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,45,0.017879,0.043341,0.002147,0.017784,0.002896,0.020679,0,False,False
10^1 ,10.0,50,0.021609,0.056278,0.003602,0.025482,0.002379,0.025592,0,False,False
10^1 ,10.0,55,0.025652,0.066003,0.004058,0.029182,0.003556,0.027431,0,False,False
10^1 ,10.0,60,0.026196,0.071269,0.004276,0.030876,0.004913,0.027764,0,False,False
10^1 ,10.0,65,0.027783,0.077295,0.004651,0.033018,0.009004,0.027064,0,False,False
10^1 ,10.0,70,0.028112,0.08051,0.004512,0.033013,0.009719,0.026253,0,False,False
10^1 ,10.0,75,0.027585,0.083131,0.004309,0.033675,0.012706,0.02498,0,False,False
10^1 ,10.0,80,0.026865,0.085039,0.00409,0.033822,0.015452,0.023566,0,False,False
10^1 ,10.0,85,0.017614,0.065832,0.002729,0.025425,0.018418,0.012616,0,False,False
10^1 ,10.0,90,0.010741,0.051217,0.001411,0.018333,0.020302,0.007641,0,False,False
10^1 ,10.0,95,0.005622,0.041227,0.000954,0.01462,0.022872,0.009942,0,False,False
10^1 ,10.0,100,0.005077,0.035006,0.000851,0.012789,0.025025,0.012788,0,False,False
10^1 ,10.0,105,0.00567,0.028927,0.001014,0.011163,0.026155,0.015111,0,False,False
10^1 ,10.0,110,0.00658,0.02615,0.00076,0.010272,0.02731,0.0175,0,False,False
10^1 ,10.0,115,0.00677,0.022791,0.000678,0.007734,0.025875,0.019093,0,False,False
10^1 ,10.0,120,0.025862,0.107751,0.034444,0.068197,0.031563,0.042279,0,False,False
10^2,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,5,0.052007,0.069873,0.011368,0.000138,0.051523,0.05166,0,False,False
10^2,100.0,10,0.073514,0.101811,0.008039,0.013006,0.052127,0.061853,0,False,False
10^2,100.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
