# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^1 ,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,5,0.045979,0.057888,0.0,0.008693,0.020704,0.029394,0,False,False
10^1 ,10.0,10,0.037953,0.047919,0.0,0.007083,0.016987,0.024167,0,False,False
10^1 ,10.0,15,0.108531,0.185629,0.0,0.048577,0.017065,0.059047,0,False,False
10^1 ,10.0,20,0.121294,0.213219,0.0,0.051227,0.016052,0.063024,0,False,False
10^1 ,10.0,25,0.123524,0.220663,0.0,0.049398,0.014929,0.061622,0,False,False
10^1 ,10.0,30,0.12262,0.220973,0.0,0.046652,0.014085,0.059041,0,False,False
10^1 ,10.0,35,0.120373,0.218296,0.0,0.043807,0.013362,0.056071,0,False,False
10^1 ,10.0,40,0.113096,0.204599,0.0,0.041882,0.017903,0.052825,0,False,False
10^1 ,10.0,45,0.091144,0.17373,0.0,0.035835,0.020137,0.041399,0,False,False
10^1 ,10.0,50,0.077129,0.150198,0.0,0.030011,0.023669,0.035974,0,False,False
10^1 ,10.0,55,0.053075,0.10873,0.0,0.020903,0.024526,0.022349,0,False,False
10^1 ,10.0,60,0.050942,0.102753,0.0,0.021025,0.024809,0.02751,0,False,False
10^1 ,10.0,65,0.048053,0.09576,0.0,0.022669,0.023697,0.031818,0,False,False
10^1 ,10.0,70,0.044929,0.088777,0.0,0.024918,0.020929,0.034256,0,False,False
10^1 ,10.0,75,0.041282,0.082161,0.0,0.0272,0.016215,0.034468,0,False,False
10^1 ,10.0,80,0.037472,0.075773,0.0,0.028575,0.006015,0.030893,0,False,False
10^1 ,10.0,85,0.026152,0.057036,0.0,0.021196,0.004588,0.017549,0,False,False
10^1 ,10.0,90,0.019899,0.044298,0.0,0.014527,0.004887,0.010679,0,False,False
10^1 ,10.0,95,0.016081,0.03494,0.0,0.009052,0.007545,0.007218,0,False,False
10^1 ,10.0,100,0.013212,0.028532,0.0,0.005184,0.010457,0.00944,0,False,False
10^1 ,10.0,105,0.01072,0.023829,0.0,0.012922,0.079073,0.088895,0,False,False
10^1 ,10.0,110,0.009511,0.024076,0.0,0.012353,0.08046,0.089801,1,False,True
10^1 ,10.0,115,0.007875,0.02147,0.0,0.012444,0.081899,0.091475,1,False,True
10^1 ,10.0,120,0.006497,0.01917,0.0,0.013345,0.083281,0.093518,1,False,True
10^2,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,5,0.021831,0.055213,0.0,0.03017,0.003457,0.026715,0,False,False
10^2,100.0,10,0.017918,0.045675,0.0,0.02446,0.00282,0.021951,0,False,False
10^2,100.0,15,0.091354,0.217399,0.0,0.111233,0.005498,0.096331,0,False,True
10^2,100.0,20,0.102803,0.25234,0.0,0.115595,0.006326,0.105745,0,False,True
10^2,100.0,25,0.104948,0.263051,0.0,0.111177,0.006484,0.105441,1,False,True
10^2,100.0,30,0.104054,0.264916,0.0,0.105547,0.006509,0.102572,1,False,True
