group,concentration_cfu_ml,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio,reagent_normalized
10^1 copy,10.0,0,211.8673,213.066,255.0,1.031857,0.889684,0.862217,True
10^1 copy,10.0,5,200.5162,198.9836,255.0,1.041387,0.870736,0.836131,True
10^1 copy,10.0,10,200.5162,198.9836,255.0,1.041387,0.870736,0.836131,True
10^1 copy,10.0,15,172.3072,147.8188,255.0,1.107657,0.890027,0.803522,True
10^1 copy,10.0,20,171.8775,147.7041,255.0,1.102612,0.890743,0.807848,True
10^1 copy,10.0,25,171.8904,148.0469,255.0,1.097339,0.892078,0.812946,True
10^1 copy,10.0,30,171.4786,148.2057,255.0,1.091956,0.891434,0.816364,True
10^1 copy,10.0,35,171.352,148.2378,255.0,1.086156,0.891423,0.820714,True
10^1 copy,10.0,40,190.3725,181.7267,255.0,1.060624,0.841621,0.793515,True
10^1 copy,10.0,45,184.5752,173.0592,255.0,1.077285,0.830925,0.771314,True
10^1 copy,10.0,50,181.1519,167.1959,255.0,1.093459,0.833914,0.762638,True
10^1 copy,10.0,55,179.4109,162.8586,255.0,1.107848,0.838991,0.757316,True
10^1 copy,10.0,60,178.3321,159.713,255.0,1.118954,0.843882,0.754171,True
10^1 copy,10.0,65,177.2949,157.3888,255.0,1.125299,0.847229,0.752892,True
10^1 copy,10.0,70,176.2445,155.7662,255.0,1.126583,0.848513,0.753174,True
10^1 copy,10.0,75,175.5277,154.0837,255.0,1.129038,0.851075,0.753806,True
10^1 copy,10.0,80,174.7842,153.1065,255.0,1.128272,0.85479,0.75761,True
10^1 copy,10.0,85,174.0116,152.1071,255.0,1.128898,0.856902,0.75906,True
10^1 copy,10.0,90,173.7628,151.206,255.0,1.128424,0.858955,0.761198,True
10^1 copy,10.0,95,173.5771,150.5741,255.0,1.12706,0.869941,0.771867,True
10^1 copy,10.0,100,173.3396,149.8789,255.0,1.122794,0.875959,0.78016,True
10^1 copy,10.0,105,173.2468,149.3606,255.0,1.122557,0.880116,0.784028,True
10^1 copy,10.0,110,172.1049,146.4939,255.0,1.125129,0.879919,0.782061,True
10^1 copy,10.0,115,172.7388,147.8382,255.0,1.118242,0.884866,0.791301,True
10^1 copy,10.0,120,172.3384,147.839,255.0,1.111346,0.887842,0.798889,True
10^2,100.0,0,195.1997,189.1877,255.0,1.070671,0.819693,0.765588,True
10^2,100.0,5,189.4141,176.6083,255.0,1.108361,0.822525,0.74211,True
10^2,100.0,10,189.4141,176.6083,255.0,1.108361,0.822525,0.74211,True
10^2,100.0,15,162.8801,120.2174,255.0,1.287455,0.841333,0.653485,True
10^2,100.0,20,162.7017,120.4029,255.0,1.280416,0.84319,0.658528,True
10^2,100.0,25,162.4546,120.6898,255.0,1.272184,0.843108,0.662725,True
10^2,100.0,30,162.3707,120.9186,255.0,1.267286,0.844087,0.666058,True
10^2,100.0,35,162.3597,121.1924,255.0,1.258823,0.844642,0.670978,True
10^2,100.0,40,175.4791,155.4967,255.0,1.142563,0.775778,0.678981,True
10^2,100.0,45,165.5134,140.9854,255.0,1.185798,0.745112,0.628363,True
10^2,100.0,50,162.9371,135.0548,255.0,1.217575,0.750064,0.616031,True
10^2,100.0,55,162.4178,130.924,255.0,1.247545,0.759525,0.608816,True
10^2,100.0,60,162.4086,129.3278,255.0,1.258462,0.768531,0.610691,True
10^2,100.0,65,162.0256,127.2506,255.0,1.271948,0.774263,0.608722,True
10^2,100.0,70,161.9227,126.0726,255.0,1.278815,0.779561,0.609597,True
10^2,100.0,75,161.6788,124.5409,255.0,1.286651,0.783927,0.609277,True
10^2,100.0,80,161.6025,123.6027,255.0,1.292187,0.790324,0.611618,True
10^2,100.0,85,161.707,122.8574,255.0,1.298833,0.796309,0.613095,True
10^2,100.0,90,162.4175,122.8472,255.0,1.298231,0.802872,0.618435,True
10^2,100.0,95,162.2229,121.7923,255.0,1.302259,0.813036,0.624327,True
10^2,100.0,100,162.601,121.7549,255.0,1.296522,0.821693,0.633767,True
10^2,100.0,105,162.9453,120.8398,255.0,1.305,0.827783,0.634316,True
10^2,100.0,110,162.5118,117.9058,255.0,1.320013,0.830873,0.629443,True
10^2,100.0,115,163.0264,119.8855,255.0,1.30144,0.835114,0.641684,True
10^2,100.0,120,162.9173,119.9252,255.0,1.295129,0.839307,0.648049,True
10^3,1000.0,0,214.3744,216.0216,255.0,1.029783,0.900213,0.874177,True
10^3,1000.0,5,203.9498,202.937,255.0,1.038584,0.885646,0.852744,True
10^3,1000.0,10,203.9498,202.937,255.0,1.038584,0.885646,0.852744,True
10^3,1000.0,15,186.5691,162.2364,255.0,1.092755,0.963695,0.881895,True
10^3,1000.0,20,186.6301,162.3902,255.0,1.088975,0.967197,0.888172,True
10^3,1000.0,25,186.5316,162.896,255.0,1.082256,0.968062,0.894485,True
10^3,1000.0,30,186.7379,163.4819,255.0,1.07801,0.97076,0.90051,True
10^3,1000.0,35,186.8985,163.8813,255.0,1.071613,0.9723,0.907323,True
10^3,1000.0,40,193.1825,183.7377,255.0,1.0645,0.854044,0.802296,True
10^3,1000.0,45,187.2633,172.7706,255.0,1.0948,0.843026,0.770028,True
10^3,1000.0,50,183.75,167.8178,255.0,1.105032,0.845874,0.765475,True
10^3,1000.0,55,183.677,166.0596,255.0,1.112327,0.858941,0.772201,True
10^3,1000.0,60,183.8114,165.5844,255.0,1.112438,0.869811,0.781896,True
10^3,1000.0,65,183.9618,164.0299,255.0,1.120341,0.879088,0.784661,True
10^3,1000.0,70,184.0723,162.9821,255.0,1.124525,0.886198,0.788064,True
10^3,1000.0,75,184.1287,161.9946,255.0,1.126524,0.892778,0.792507,True
10^3,1000.0,80,184.424,161.6074,255.0,1.127876,0.901934,0.799675,True
10^3,1000.0,85,184.6218,161.447,255.0,1.128442,0.90915,0.805668,True
10^3,1000.0,90,185.1565,161.4124,255.0,1.126384,0.915276,0.812579,True
10^3,1000.0,95,185.3209,161.651,255.0,1.120859,0.928799,0.828649,True
10^3,1000.0,100,185.6622,161.4474,255.0,1.11644,0.938231,0.840377,True
10^3,1000.0,105,186.0025,161.4631,255.0,1.114871,0.944917,0.847557,True
10^3,1000.0,110,185.9089,159.4618,255.0,1.116534,0.950495,0.85129,True
10^3,1000.0,115,186.3697,161.2947,255.0,1.105829,0.954692,0.863326,True
10^3,1000.0,120,186.6493,161.7942,255.0,1.099815,0.961568,0.8743,True
