group,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio
Resazurin Reagent Negative Control,0,235.9249,243.8963,255.0,0.967317,0.925196,0.956456
Resazurin Reagent Negative Control,5,227.6361,234.254,255.0,0.971749,0.892691,0.918643
Resazurin Reagent Negative Control,10,227.6361,234.254,255.0,0.971749,0.892691,0.918643
Resazurin Reagent Negative Control,15,188.7871,178.0486,255.0,1.060312,0.740341,0.69823
Resazurin Reagent Negative Control,20,188.0826,176.8849,255.0,1.063305,0.737579,0.693666
Resazurin Reagent Negative Control,25,187.8045,176.0933,255.0,1.066506,0.736488,0.690562
Resazurin Reagent Negative Control,30,187.5001,175.5069,255.0,1.068335,0.735295,0.688262
Resazurin Reagent Negative Control,35,187.3415,174.5533,255.0,1.073262,0.734672,0.684523
Resazurin Reagent Negative Control,40,222.1271,224.2569,255.0,0.990503,0.871087,0.879439
Resazurin Reagent Negative Control,45,217.8285,219.4851,255.0,0.992452,0.854229,0.860726
Resazurin Reagent Negative Control,50,212.7153,214.1137,255.0,0.993469,0.834177,0.839662
Resazurin Reagent Negative Control,55,209.1451,209.7421,255.0,0.997154,0.820177,0.822518
Resazurin Reagent Negative Control,60,206.5594,206.397,255.0,1.000787,0.810037,0.8094
Resazurin Reagent Negative Control,65,204.5328,203.7144,255.0,1.004017,0.802089,0.79888
Resazurin Reagent Negative Control,70,202.9814,201.4546,255.0,1.007579,0.796006,0.790018
Resazurin Reagent Negative Control,75,201.6124,199.1056,255.0,1.01259,0.790637,0.780806
Resazurin Reagent Negative Control,80,199.933,196.8084,255.0,1.015876,0.784051,0.771798
Resazurin Reagent Negative Control,85,198.547,195.0698,255.0,1.017826,0.778616,0.76498
Resazurin Reagent Negative Control,90,197.649,193.1773,255.0,1.023148,0.775094,0.757558
Resazurin Reagent Negative Control,95,194.8026,189.4564,255.0,1.028219,0.763932,0.742966
Resazurin Reagent Negative Control,100,193.0136,186.4436,255.0,1.035239,0.756916,0.731151
Resazurin Reagent Negative Control,105,255.0,255.0,255.0,1.0,1.0,1.0
Resazurin Reagent Negative Control,110,190.6401,181.4182,255.0,1.050832,0.747608,0.711444
Resazurin Reagent Negative Control,115,190.359,181.0701,255.0,1.0513,0.746506,0.710079
Resazurin Reagent Negative Control,120,189.1725,179.2086,255.0,1.0556,0.741853,0.702779
