# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^1 ,10.0,0,1,170.85,False
10^1 ,10.0,5,1,151.72,False
10^1 ,10.0,10,1,151.72,False
10^1 ,10.0,15,1,95.35,False
10^1 ,10.0,20,1,94.98,False
10^1 ,10.0,25,1,95.09,False
10^1 ,10.0,30,1,94.88,False
10^1 ,10.0,35,1,94.8,False
10^1 ,10.0,40,1,131.4,False
10^1 ,10.0,45,1,120.82,False
10^1 ,10.0,50,1,114.36,False
10^1 ,10.0,55,1,110.0,False
10^1 ,10.0,60,1,107.0,False
10^1 ,10.0,65,1,104.64,False
10^1 ,10.0,70,1,102.87,False
10^1 ,10.0,75,1,101.39,False
10^1 ,10.0,80,1,100.25,False
10^1 ,10.0,85,1,99.07,False
10^1 ,10.0,90,1,98.38,False
10^1 ,10.0,95,1,97.79,False
10^1 ,10.0,100,1,97.22,False
10^1 ,10.0,105,1,96.76,False
10^1 ,10.0,110,1,94.64,False
10^1 ,10.0,115,1,95.63,False
10^1 ,10.0,120,1,95.34,False
10^2,100.0,0,1,144.46,False
10^2,100.0,5,1,132.25,False
10^2,100.0,10,1,132.25,False
10^2,100.0,15,1,84.02,False
10^2,100.0,20,1,83.85,False
10^2,100.0,25,1,83.81,False
10^2,100.0,30,1,83.74,False
10^2,100.0,35,1,83.8,False
10^2,100.0,40,1,108.43,False
10^2,100.0,45,1,93.34,False
10^2,100.0,50,1,88.98,False
10^2,100.0,55,1,87.0,False
10^2,100.0,60,1,86.57,False
10^2,100.0,65,1,85.71,False
10^2,100.0,70,1,85.37,False
10^2,100.0,75,1,84.87,False
10^2,100.0,80,1,84.51,False
10^2,100.0,85,1,84.41,False
10^2,100.0,90,1,84.67,False
10^2,100.0,95,1,84.21,False
10^2,100.0,100,1,84.4,False
10^2,100.0,105,1,84.28,False
10^2,100.0,110,1,83.24,False
10^2,100.0,115,1,84.04,False
10^2,100.0,120,1,83.97,False
10^3,1000.0,0,1,179.06,False
10^3,1000.0,5,1,161.88,False
10^3,1000.0,10,1,161.88,False
10^3,1000.0,15,1,119.85,False
10^3,1000.0,20,1,119.92,False
10^3,1000.0,25,1,120.19,False
10^3,1000.0,30,1,120.68,False
10^3,1000.0,35,1,121.05,False
10^3,1000.0,40,1,139.63,False
10^3,1000.0,45,1,127.89,False
10^3,1000.0,50,1,122.32,False
10^3,1000.0,55,1,121.13,False
10^3,1000.0,60,1,120.81,False
10^3,1000.0,65,1,119.73,False
10^3,1000.0,70,1,118.83,False
10^3,1000.0,75,1,118.18,False
10^3,1000.0,80,1,118.07,False
10^3,1000.0,85,1,118.06,False
10^3,1000.0,90,1,118.37,False
10^3,1000.0,95,1,118.56,False
10^3,1000.0,100,1,118.71,False
10^3,1000.0,105,5,229.46,True
10^3,1000.0,110,1,117.7,False
10^3,1000.0,115,1,119.12,False
10^3,1000.0,120,1,119.59,False
10^4,10000.0,0,1,171.24,False
10^4,10000.0,5,1,160.74,False
10^4,10000.0,10,1,160.74,False
10^4,10000.0,15,1,128.65,False
10^4,10000.0,20,1,128.64,False
10^4,10000.0,25,1,128.9,False
10^4,10000.0,30,1,129.33,False
10^4,10000.0,35,1,129.44,False
10^4,10000.0,40,1,149.1,False
10^4,10000.0,45,1,143.68,False
10^4,10000.0,50,1,139.7,False
10^4,10000.0,55,1,136.48,False
10^4,10000.0,60,1,134.16,False
10^4,10000.0,65,1,132.67,False
10^4,10000.0,70,1,131.3,False
10^4,10000.0,75,1,130.66,False
10^4,10000.0,80,1,129.77,False
10^4,10000.0,85,1,129.57,False
10^4,10000.0,90,1,129.27,False
10^4,10000.0,95,1,129.18,False
10^4,10000.0,100,1,129.06,False
10^4,10000.0,105,1,128.76,False
10^4,10000.0,110,1,127.46,False
10^4,10000.0,115,1,128.28,False
10^4,10000.0,120,1,128.34,False
10^5,100000.0,0,1,121.8,False
10^5,100000.0,5,1,108.06,False
10^5,100000.0,10,1,108.06,False
10^5,100000.0,15,1,62.0,False
10^5,100000.0,20,1,61.56,False
10^5,100000.0,25,1,61.0,False
10^5,100000.0,30,1,60.68,False
10^5,100000.0,35,1,60.19,False
10^5,100000.0,40,1,90.19,False
