# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^3,1000.0,85,0.031189,0.043424,0.000876,0.012832,0.013637,0.002697,0,False,False
10^3,1000.0,90,0.024469,0.03727,0.000562,0.012229,0.01483,0.003144,0,False,False
10^3,1000.0,95,0.021282,0.033676,0.000456,0.01161,0.015794,0.004389,0,False,False
10^3,1000.0,100,0.017469,0.030003,0.000427,0.01064,0.015679,0.00542,0,False,False
10^3,1000.0,105,0.056827,0.086905,0.029787,0.028493,0.013388,0.0243,0,False,False
10^3,1000.0,110,0.073792,0.114719,0.03968,0.036463,0.01114,0.031951,0,False,False
10^3,1000.0,115,0.083294,0.132109,0.045527,0.040903,0.010055,0.035965,0,False,False
10^3,1000.0,120,0.087688,0.142387,0.04859,0.04304,0.009605,0.038277,0,False,False
10^4,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^4,10000.0,5,0.057873,0.056071,0.003652,0.002228,0.034964,0.032737,0,False,False
10^4,10000.0,10,0.071525,0.070068,0.004386,0.002137,0.038631,0.036484,0,False,False
10^4,10000.0,15,0.167201,0.250387,0.030985,0.100092,0.0409,0.073689,0,True,False
10^4,10000.0,20,0.186663,0.293511,0.034226,0.107467,0.04015,0.079544,0,True,False
10^4,10000.0,25,0.190828,0.310281,0.03467,0.106807,0.039635,0.079352,0,False,False
10^4,10000.0,30,0.189741,0.316422,0.034081,0.103737,0.038592,0.077607,0,False,False
10^4,10000.0,35,0.186222,0.317621,0.033092,0.10039,0.037801,0.075307,0,False,False
10^4,10000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^4,10000.0,45,0.019255,0.023535,0.000717,0.002019,0.007314,0.009334,0,False,False
10^4,10000.0,50,0.028489,0.033226,0.000554,0.005479,0.006298,0.011059,0,False,False
