group,concentration_cfu_ml,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio,reagent_normalized
10^1 ,10.0,0,195.7489,187.0045,210.384,1.012994,0.944154,0.932043,True
10^1 ,10.0,5,188.3838,178.2754,210.7568,1.02184,0.941004,0.920892,True
10^1 ,10.0,10,180.212,170.1837,210.3144,1.023258,0.935962,0.914688,True
10^1 ,10.0,15,105.356,75.9504,173.5922,1.295206,0.89216,0.688817,True
10^1 ,10.0,20,105.3917,75.3234,173.6808,1.301412,0.894314,0.687187,True
10^1 ,10.0,25,105.0473,74.6419,173.823,1.304732,0.895877,0.686637,True
10^1 ,10.0,30,105.1542,74.2066,173.8815,1.309011,0.898277,0.686226,True
10^1 ,10.0,35,105.5092,73.8691,174.2461,1.31341,0.902067,0.686812,True
10^1 ,10.0,40,173.1207,163.5223,209.669,1.026622,0.935603,0.911341,True
10^1 ,10.0,45,168.6993,158.638,209.8903,1.028001,0.928071,0.902792,True
10^1 ,10.0,50,163.3106,153.1492,208.8742,1.035465,0.929629,0.897789,True
10^1 ,10.0,55,160.2642,149.8758,208.9699,1.036378,0.923842,0.891414,True
10^1 ,10.0,60,156.9317,146.1205,208.4828,1.041266,0.924052,0.887431,True
10^1 ,10.0,65,153.626,142.2599,208.3345,1.047137,0.920874,0.879421,True
10^1 ,10.0,70,150.8133,139.1703,208.0169,1.051099,0.919293,0.874602,True
10^1 ,10.0,75,148.4704,136.1652,208.0193,1.058375,0.918522,0.867861,True
10^1 ,10.0,80,146.7596,134.0581,207.8167,1.06282,0.921286,0.866831,True
10^1 ,10.0,85,145.2104,131.5353,207.6704,1.070638,0.922718,0.861839,True
10^1 ,10.0,90,144.1384,129.7784,208.0175,1.075393,0.923806,0.85904,True
10^1 ,10.0,95,143.3374,127.5343,207.7986,1.085947,0.928403,0.854925,True
10^1 ,10.0,100,143.0066,125.7608,207.6502,1.095198,0.934601,0.853363,True
10^1 ,10.0,105,106.4439,79.5081,173.445,1.266466,0.878441,0.693616,True
10^1 ,10.0,110,105.9903,78.102,173.5189,1.278944,0.881508,0.689247,True
10^1 ,10.0,115,105.7718,77.5342,173.4625,1.282533,0.887319,0.691849,True
10^1 ,10.0,120,105.5994,76.6455,173.7628,1.289654,0.886877,0.687686,True
10^2,100.0,0,195.7388,189.214,222.2325,1.001113,0.893769,0.892776,True
10^2,100.0,5,183.7694,176.4385,222.0752,1.007189,0.871169,0.864952,True
10^2,100.0,10,174.4353,166.4681,221.4737,1.012565,0.860311,0.849636,True
10^2,100.0,15,117.6655,78.5929,188.846,1.397898,0.915915,0.655208,True
10^2,100.0,20,117.7579,77.7294,188.637,1.409103,0.920022,0.652913,True
10^2,100.0,25,118.0452,76.9249,188.7185,1.422657,0.927266,0.651785,True
10^2,100.0,30,118.5146,76.2317,188.6491,1.436135,0.933155,0.649768,True
10^2,100.0,35,118.9504,75.3914,188.6135,1.450832,0.939517,0.647571,True
10^2,100.0,40,167.6939,158.9743,220.5617,1.02289,0.861517,0.842238,True
10^2,100.0,45,163.1927,153.5052,220.3595,1.027697,0.855124,0.832078,True
10^2,100.0,50,158.7428,148.9296,219.5424,1.03502,0.859717,0.830628,True
10^2,100.0,55,156.6326,145.6692,219.3839,1.042143,0.860047,0.825268,True
10^2,100.0,60,154.6094,142.4326,219.1937,1.052419,0.865892,0.822763,True
10^2,100.0,65,153.187,140.2894,219.1882,1.058811,0.872774,0.824296,True
10^2,100.0,70,151.4437,137.5519,218.9528,1.06791,0.877028,0.821257,True
10^2,100.0,75,150.2106,135.3948,218.8072,1.076872,0.883471,0.820404,True
10^2,100.0,80,148.7792,133.2444,218.907,1.084026,0.886647,0.817921,True
10^2,100.0,85,148.0854,131.2637,218.9401,1.094095,0.892551,0.815789,True
10^2,100.0,90,147.8371,129.384,218.8337,1.10635,0.900679,0.814099,True
10^2,100.0,95,147.8878,127.7953,218.8215,1.118133,0.909624,0.81352,True
10^2,100.0,100,148.1071,126.0267,218.6637,1.131867,0.919183,0.812095,True
10^2,100.0,105,117.4369,83.2817,189.0524,1.333947,0.889151,0.666557,True
10^2,100.0,110,117.6304,81.876,188.8959,1.353975,0.898678,0.663733,True
10^2,100.0,115,117.4304,80.61,188.8143,1.369567,0.905026,0.660812,True
10^2,100.0,120,117.409,79.4905,188.7551,1.382562,0.90774,0.656564,True
10^3,1000.0,0,210.736,205.7146,234.5241,0.991364,0.911817,0.91976,True
10^3,1000.0,5,195.0864,190.9266,236.4943,0.988078,0.868432,0.87891,True
10^3,1000.0,10,182.1975,178.2262,236.4817,0.987848,0.841566,0.851918,True
10^3,1000.0,15,129.8125,105.4914,214.4608,1.148971,0.889779,0.774414,True
10^3,1000.0,20,129.9959,105.0464,214.5755,1.15103,0.892863,0.775708,True
10^3,1000.0,25,130.2663,104.3884,214.5381,1.156908,0.900115,0.778035,True
10^3,1000.0,30,130.5028,103.8716,214.5228,1.160598,0.903614,0.778576,True
10^3,1000.0,35,130.9162,103.3263,214.6014,1.165079,0.908808,0.78004,True
10^3,1000.0,40,173.8993,169.8463,236.228,0.992842,0.834148,0.840162,True
10^3,1000.0,45,169.3275,164.5776,236.0356,0.994591,0.828343,0.832848,True
10^3,1000.0,50,164.3493,159.4622,235.3224,1.000797,0.830395,0.829734,True
10^3,1000.0,55,162.3957,156.5242,235.6831,1.005555,0.830025,0.825439,True
10^3,1000.0,60,160.2826,153.8749,235.624,1.009906,0.83507,0.826879,True
10^3,1000.0,65,158.2958,151.2562,235.6325,1.014793,0.83894,0.826711,True
10^3,1000.0,70,156.8083,149.0721,235.4672,1.020288,0.844406,0.827616,True
10^3,1000.0,75,155.684,147.1177,235.454,1.027176,0.850925,0.828412,True
10^3,1000.0,80,154.2486,145.2996,235.642,1.030631,0.853958,0.828578,True
10^3,1000.0,85,153.6426,143.8984,235.6239,1.035483,0.860475,0.830989,True
10^3,1000.0,90,152.9651,142.5891,235.7766,1.038714,0.864953,0.832715,True
10^3,1000.0,95,152.4236,141.4415,235.6562,1.041242,0.870549,0.836068,True
10^3,1000.0,100,152.1117,140.4135,235.6586,1.043363,0.875956,0.83955,True
10^3,1000.0,105,129.4396,108.7629,214.5151,1.125823,0.863699,0.767172,True
10^3,1000.0,110,129.502,107.7342,214.6783,1.132845,0.870554,0.768467,True
10^3,1000.0,115,129.553,106.9839,214.5632,1.138468,0.878633,0.771768,True
10^3,1000.0,120,129.6452,106.1148,214.5493,1.143612,0.881836,0.771097,True
10^4,10000.0,0,209.2616,205.3972,241.7626,0.985949,0.878328,0.890845,True
10^4,10000.0,5,192.905,189.8436,243.0829,0.982603,0.835446,0.850237,True
10^4,10000.0,10,181.7594,178.9172,244.0001,0.981667,0.813673,0.828869,True
10^4,10000.0,15,138.038,109.0785,227.9054,1.181596,0.890344,0.753509,True
10^4,10000.0,20,138.2081,108.4001,227.8884,1.185883,0.893813,0.753711,True
10^4,10000.0,25,138.329,107.578,227.6072,1.192089,0.900944,0.755769,True
10^4,10000.0,30,138.3279,107.0157,227.5852,1.194047,0.902823,0.756103,True
10^4,10000.0,35,138.7326,106.3291,227.7258,1.199774,0.907564,0.756446,True
10^4,10000.0,40,173.7752,171.2579,244.1939,0.983956,0.806361,0.819509,True
10^4,10000.0,45,169.192,165.7188,244.4439,0.986951,0.79921,0.809777,True
10^4,10000.0,50,164.2647,160.3897,244.3681,0.994497,0.799245,0.803667,True
10^4,10000.0,55,161.9037,156.7266,244.5847,1.001215,0.797393,0.796426,True
10^4,10000.0,60,159.6655,153.467,244.5168,1.008691,0.801601,0.794694,True
10^4,10000.0,65,157.699,150.5062,244.6999,1.016005,0.804807,0.792129,True
10^4,10000.0,70,156.2564,148.1439,244.6203,1.023067,0.80995,0.791688,True
10^4,10000.0,75,155.0514,145.9927,244.7153,1.030885,0.815395,0.790966,True
10^4,10000.0,80,154.226,144.2495,244.7987,1.037981,0.821895,0.791821,True
10^4,10000.0,85,153.636,142.7893,244.7139,1.043481,0.828476,0.793954,True
10^4,10000.0,90,153.1333,141.4943,244.7114,1.047901,0.834288,0.796152,True
10^4,10000.0,95,152.8238,140.4004,244.8146,1.051717,0.840182,0.798867,True
10^4,10000.0,100,152.6064,139.4881,244.6165,1.053702,0.846622,0.803475,True
10^4,10000.0,105,137.6089,112.7909,228.3032,1.154134,0.862756,0.747535,True
10^4,10000.0,110,137.5278,111.5899,228.2395,1.161483,0.869574,0.748676,True
10^4,10000.0,115,137.7404,110.6311,228.0981,1.170512,0.878729,0.750722,True
10^4,10000.0,120,137.7644,109.977,228.0068,1.172556,0.881755,0.751994,True
10^5,100000.0,0,210.782,210.3187,250.9658,0.969874,0.852266,0.878739,True
10^5,100000.0,5,196.8647,195.7502,252.7833,0.972515,0.819877,0.843048,True
10^5,100000.0,10,188.6318,186.5459,253.6036,0.977122,0.812462,0.831485,True
10^5,100000.0,15,170.3819,131.5181,246.9492,1.209615,1.014213,0.838459,True
10^5,100000.0,20,170.8597,130.9039,246.865,1.214018,1.020036,0.840215,True
10^5,100000.0,25,171.4671,130.3258,246.7055,1.219746,1.030321,0.844701,True
10^5,100000.0,30,171.9459,129.6496,246.6149,1.225124,1.035641,0.845336,True
10^5,100000.0,35,172.4493,129.1356,246.6123,1.227972,1.041736,0.848339,True
10^5,100000.0,40,182.4515,179.4842,253.9122,0.985734,0.814218,0.826002,True
10^5,100000.0,45,178.4304,173.6983,254.4716,0.993026,0.809636,0.815322,True
10^5,100000.0,50,174.7662,168.8586,254.5738,1.00501,0.816251,0.812182,True
10^5,100000.0,55,173.3105,165.4988,254.8562,1.014946,0.819171,0.807108,True
10^5,100000.0,60,171.9862,163.0119,254.7264,1.022908,0.828849,0.810288,True
10^5,100000.0,65,170.9592,160.5237,254.83,1.032701,0.837797,0.811268,True
10^5,100000.0,70,170.2424,158.4545,254.7684,1.04211,0.847296,0.813058,True
10^5,100000.0,75,169.8765,156.7865,254.8211,1.051696,0.857928,0.815757,True
10^5,100000.0,80,169.6269,155.3958,254.731,1.059746,0.868723,0.819746,True
10^5,100000.0,85,169.5411,154.2661,254.7401,1.065839,0.878261,0.824008,True
10^5,100000.0,90,169.6958,153.1984,254.8005,1.072523,0.887915,0.827875,True
10^5,100000.0,95,170.1783,152.4365,254.6899,1.078677,0.899316,0.833721,True
10^5,100000.0,100,170.4148,151.7358,254.6551,1.081686,0.90815,0.839569,True
10^5,100000.0,105,168.0176,134.4083,247.0817,1.182531,0.973347,0.823105,True
10^5,100000.0,110,168.5275,133.7153,247.1352,1.187783,0.984109,0.828526,True
10^5,100000.0,115,168.8748,132.9252,247.0824,1.194399,0.994577,0.832701,True
10^5,100000.0,120,169.6095,132.1103,246.8946,1.201744,1.00253,0.834229,True
10^6,1000000.0,0,212.4083,210.9609,242.8541,0.974382,0.887529,0.910864,True
10^6,1000000.0,5,192.1,190.2591,245.0851,0.976366,0.825163,0.845137,True
10^6,1000000.0,10,181.8869,177.7103,245.7602,0.989028,0.808413,0.817382,True
10^6,1000000.0,15,172.9909,123.8478,231.2588,1.304201,1.09961,0.843129,True
10^6,1000000.0,20,173.9372,123.1578,231.176,1.313617,1.108881,0.844144,True
10^6,1000000.0,25,175.0862,122.3715,230.9676,1.32645,1.123755,0.84719,True
10^6,1000000.0,30,176.5267,121.6922,230.8839,1.340007,1.135674,0.847513,True
10^6,1000000.0,35,177.8359,121.028,230.7965,1.351159,1.147893,0.849562,True
10^6,1000000.0,40,175.6357,169.4438,246.1337,1.005138,0.808572,0.804438,True
10^6,1000000.0,45,172.9672,164.3203,246.2941,1.01756,0.810905,0.796911,True
10^6,1000000.0,50,170.9035,160.6097,246.2688,1.033273,0.825129,0.798558,True
10^6,1000000.0,55,170.8002,158.5811,246.5367,1.043879,0.834549,0.799469,True
10^6,1000000.0,60,171.8855,157.8482,246.1006,1.055752,0.857398,0.812121,True
10^6,1000000.0,65,172.2935,156.4673,246.2175,1.067743,0.87387,0.818428,True
10^6,1000000.0,70,172.7299,155.4302,246.0267,1.077909,0.890222,0.825878,True
10^6,1000000.0,75,173.6527,154.4479,246.209,1.091352,0.907676,0.831698,True
10^6,1000000.0,80,174.2063,153.6044,246.094,1.101048,0.923487,0.838735,True
10^6,1000000.0,85,174.9704,152.8132,246.075,1.110429,0.938302,0.844991,True
10^6,1000000.0,90,175.9614,152.2679,246.0633,1.11892,0.953392,0.852064,True
10^6,1000000.0,95,176.9907,151.6294,246.026,1.127829,0.968254,0.858511,True
10^6,1000000.0,100,177.8263,150.9798,245.9712,1.134381,0.981103,0.864879,True
10^6,1000000.0,105,168.4159,126.9628,231.3623,1.254846,1.041943,0.830335,True
10^6,1000000.0,110,169.5556,126.0777,231.5249,1.267422,1.056869,0.833873,True
10^6,1000000.0,115,170.5138,125.4694,231.4272,1.277654,1.072162,0.839164,True
10^6,1000000.0,120,255.0,255.0,255.0,0.936049,1.459347,1.55905,True
10^6,1000000.0,125,171.6332,124.5022,231.379,1.378555,0.741784,0.538088,True
10^7,10000000.0,0,208.7505,200.3966,219.3489,1.008084,0.965713,0.957969,True
10^7,10000000.0,5,190.3931,178.6458,218.2153,1.030598,0.918535,0.891264,True
10^7,10000000.0,10,181.5779,164.6663,216.816,1.06556,0.914777,0.858494,True
10^7,10000000.0,15,174.3512,93.0118,186.6557,1.750234,1.373085,0.784515,True
10^7,10000000.0,20,176.1324,92.6225,186.6408,1.768728,1.39081,0.786334,True
10^7,10000000.0,25,178.3184,92.039,186.6322,1.796152,1.41638,0.788564,True
10^7,10000000.0,30,180.4762,91.7207,186.4307,1.817655,1.437935,0.791093,True
10^7,10000000.0,35,183.2118,91.2024,186.6625,1.847225,1.462202,0.791567,True
10^7,10000000.0,40,177.5406,156.8081,215.6951,1.097912,0.932683,0.849506,True
10^7,10000000.0,45,176.5246,151.9884,215.5805,1.122748,0.945488,0.84212,True
10^7,10000000.0,50,175.3052,148.0589,215.034,1.14973,0.969321,0.843086,True
10^7,10000000.0,55,176.1793,145.593,215.0757,1.172809,0.986753,0.841359,True
10^7,10000000.0,60,177.6182,144.8331,214.6655,1.189,1.015736,0.854278,True
10^7,10000000.0,65,178.7137,143.044,214.5861,1.211461,1.040047,0.858507,True
10^7,10000000.0,70,179.8192,140.9636,214.2916,1.237312,1.064006,0.859933,True
10^7,10000000.0,75,181.0814,139.4205,214.0326,1.260703,1.088797,0.863643,True
10^7,10000000.0,80,182.4371,137.6562,213.9977,1.28666,1.112173,0.864387,True
10^7,10000000.0,85,184.5828,135.9837,213.6286,1.316411,1.140191,0.866136,True
10^7,10000000.0,90,187.3302,134.3607,213.3329,1.349974,1.170714,0.867212,True
10^7,10000000.0,95,189.9194,132.6936,212.7847,1.382915,1.201292,0.868667,True
10^7,10000000.0,100,192.2343,130.8468,212.0027,1.414978,1.23053,0.869646,True
10^7,10000000.0,105,166.8828,95.6026,186.7198,1.651299,1.279307,0.774727,True
10^7,10000000.0,110,168.9243,95.039,186.7809,1.675088,1.305169,0.779164,True
10^7,10000000.0,115,170.612,94.127,186.5795,1.704068,1.330641,0.780862,True
10^7,10000000.0,120,172.172,93.5903,186.6357,1.721988,1.346252,0.781801,True
10^8 (Positive Control),100000000.0,0,221.8331,207.4495,206.8608,1.034841,1.088189,1.051552,True
10^8 (Positive Control),100000000.0,5,213.3181,195.4162,206.5012,1.055596,1.087513,1.030236,True
10^8 (Positive Control),100000000.0,10,209.3698,186.1653,205.6825,1.086763,1.111885,1.023117,True
10^8 (Positive Control),100000000.0,15,251.8037,115.6457,188.4081,2.033021,1.964609,0.966349,True
10^8 (Positive Control),100000000.0,20,251.6392,115.2637,188.3058,2.030598,1.969472,0.969898,True
10^8 (Positive Control),100000000.0,25,251.6255,114.9805,188.3627,2.028848,1.980297,0.976069,True
10^8 (Positive Control),100000000.0,30,251.5624,114.8959,188.2945,2.022556,1.984472,0.98117,True
10^8 (Positive Control),100000000.0,35,251.769,114.6591,188.4304,2.019141,1.990502,0.985816,True
10^8 (Positive Control),100000000.0,40,206.4835,178.465,205.2564,1.121943,1.139896,1.016002,True
10^8 (Positive Control),100000000.0,45,206.2997,173.1662,205.001,1.151657,1.161991,1.008974,True
10^8 (Positive Control),100000000.0,50,206.2848,169.1448,205.096,1.184253,1.195886,1.009824,True
10^8 (Positive Control),100000000.0,55,208.7243,165.8964,205.0082,1.219407,1.226441,1.005768,True
10^8 (Positive Control),100000000.0,60,212.2917,164.2402,204.8967,1.253186,1.271903,1.014935,True
10^8 (Positive Control),100000000.0,65,215.2068,161.6281,204.7596,1.291102,1.312528,1.016595,True
10^8 (Positive Control),100000000.0,70,218.5346,159.1115,204.6062,1.332198,1.354298,1.016589,True
10^8 (Positive Control),100000000.0,75,222.1009,156.8251,204.4714,1.374676,1.397883,1.016882,True
10^8 (Positive Control),100000000.0,80,225.9234,154.6556,204.3355,1.418215,1.442399,1.017053,True
10^8 (Positive Control),100000000.0,85,234.2525,150.5388,202.7386,1.509118,1.524732,1.010347,True
10^8 (Positive Control),100000000.0,90,243.8862,145.8766,199.1343,1.618793,1.632834,1.008673,True
10^8 (Positive Control),100000000.0,95,251.7639,141.4751,194.8727,1.71945,1.738851,1.011283,True
10^8 (Positive Control),100000000.0,100,255.0,137.4725,189.4924,1.786514,1.826212,1.022221,True
10^8 (Positive Control),100000000.0,105,249.2337,116.4979,187.9067,2.023824,1.898532,0.938091,True
10^8 (Positive Control),100000000.0,110,251.3208,116.3842,188.0948,2.035081,1.928229,0.947495,True
10^8 (Positive Control),100000000.0,115,251.7077,115.6678,188.2116,2.045859,1.946102,0.951239,True
10^8 (Positive Control),100000000.0,120,251.5954,115.5627,188.2967,2.037902,1.949928,0.956831,True
0 (Sterile Negative Control),0.0,0,190.0405,183.7463,203.836,1.000892,0.946066,0.945223,True
0 (Sterile Negative Control),0.0,5,172.6093,165.7995,203.5509,1.006727,0.892731,0.886766,True
0 (Sterile Negative Control),0.0,10,160.4738,151.5223,201.9575,1.023404,0.867936,0.848087,True
0 (Sterile Negative Control),0.0,15,117.3299,89.2324,173.9161,1.22771,0.991705,0.807768,True
