# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^7,10000000.0,30,4,55.9,False
10^7,10000000.0,35,4,54.14,False
10^7,10000000.0,40,1,106.46,False
10^7,10000000.0,45,1,102.59,False
10^7,10000000.0,50,1,99.09,False
10^7,10000000.0,55,1,98.32,False
10^7,10000000.0,60,1,99.07,False
10^7,10000000.0,65,1,98.98,False
10^7,10000000.0,70,1,98.77,False
10^7,10000000.0,75,1,99.02,False
10^7,10000000.0,80,1,99.35,False
10^7,10000000.0,85,1,100.37,False
10^7,10000000.0,90,4,100.86,True
10^7,10000000.0,95,4,98.65,True
10^7,10000000.0,100,4,96.23,True
10^7,10000000.0,105,4,67.43,True
10^7,10000000.0,110,4,65.71,True
10^7,10000000.0,115,4,63.88,True
10^7,10000000.0,120,4,62.51,True
10^8 (Positive Control),100000000.0,0,5,164.51,True
10^8 (Positive Control),100000000.0,5,4,152.74,True
10^8 (Positive Control),100000000.0,10,4,143.29,True
10^8 (Positive Control),100000000.0,15,5,78.09,False
10^8 (Positive Control),100000000.0,20,5,77.71,False
10^8 (Positive Control),100000000.0,25,5,77.51,False
10^8 (Positive Control),100000000.0,30,5,77.39,False
10^8 (Positive Control),100000000.0,35,5,77.36,False
10^8 (Positive Control),100000000.0,40,4,135.76,False
10^8 (Positive Control),100000000.0,45,4,130.5,True
10^8 (Positive Control),100000000.0,50,4,126.79,True
10^8 (Positive Control),100000000.0,55,4,123.44,True
10^8 (Positive Control),100000000.0,60,4,122.21,True
10^8 (Positive Control),100000000.0,65,4,119.79,True
10^8 (Positive Control),100000000.0,70,4,117.62,True
10^8 (Positive Control),100000000.0,75,4,115.75,True
10^8 (Positive Control),100000000.0,80,4,114.2,True
10^8 (Positive Control),100000000.0,85,4,111.28,True
10^8 (Positive Control),100000000.0,90,5,105.37,True
10^8 (Positive Control),100000000.0,95,5,99.95,True
10^8 (Positive Control),100000000.0,100,5,94.1,True
10^8 (Positive Control),100000000.0,105,5,78.03,True
10^8 (Positive Control),100000000.0,110,5,78.36,True
10^8 (Positive Control),100000000.0,115,5,77.98,True
10^8 (Positive Control),100000000.0,120,5,77.89,True
0 (Sterile Negative Control),0.0,0,1,135.65,False
0 (Sterile Negative Control),0.0,5,1,109.69,False
0 (Sterile Negative Control),0.0,10,1,90.28,False
0 (Sterile Negative Control),0.0,15,1,31.99,False
0 (Sterile Negative Control),0.0,20,1,32.18,False
0 (Sterile Negative Control),0.0,25,1,31.88,False
0 (Sterile Negative Control),0.0,30,1,31.96,False
0 (Sterile Negative Control),0.0,35,1,31.76,False
0 (Sterile Negative Control),0.0,40,1,77.68,False
0 (Sterile Negative Control),0.0,45,1,71.88,False
0 (Sterile Negative Control),0.0,50,1,65.3,False
0 (Sterile Negative Control),0.0,55,1,63.19,False
0 (Sterile Negative Control),0.0,60,1,61.4,False
0 (Sterile Negative Control),0.0,65,1,59.35,False
0 (Sterile Negative Control),0.0,70,1,58.23,False
