group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
10^6,1000000.0,40,153.395525,22.599065,4,128.9009,36.571322,4,236.7065,8.092844,4,1.213037,0.212559,4,0.788903,0.165475,4,0.676652,0.228705,4
10^6,1000000.0,45,151.160225,22.755028,4,123.0093,37.877351,4,235.10615,8.948192,4,1.258929,0.259592,4,0.798828,0.168415,4,0.667088,0.240771,4
10^6,1000000.0,50,149.745925,22.346344,4,118.3499,39.027352,4,234.4,9.439533,4,1.30613,0.305795,4,0.812558,0.168774,4,0.661137,0.251747,4
10^6,1000000.0,55,149.001175,22.531904,4,115.183775,39.987556,4,233.995925,10.102964,4,1.337186,0.333635,4,0.821346,0.17479,4,0.65837,0.264345,4
10^6,1000000.0,60,143.623625,31.401922,4,111.922,42.684004,4,226.46075,21.910243,4,1.314395,0.278568,4,0.822166,0.186646,4,0.665235,0.268553,4
10^6,1000000.0,65,143.860725,30.822073,4,110.106375,42.664683,4,226.215875,21.989178,4,1.333829,0.290612,4,0.836902,0.19348,4,0.670141,0.279148,4
10^6,1000000.0,70,144.030325,30.697502,4,108.808175,42.719858,4,226.0005,22.133745,4,1.346613,0.301993,4,0.844362,0.188711,4,0.672285,0.28326,4
10^6,1000000.0,75,145.86835,29.121619,4,108.284525,42.842044,4,226.1615,21.404207,4,1.363252,0.318352,4,0.866772,0.189918,4,0.684697,0.294109,4
10^6,1000000.0,80,146.404275,28.650688,4,107.22495,43.003824,4,226.000725,21.426109,4,1.378412,0.334234,4,0.879359,0.187239,4,0.690323,0.301236,4
10^6,1000000.0,85,146.83625,28.394905,4,106.2075,43.158386,4,225.552075,21.445258,4,1.392622,0.349332,4,0.891403,0.187103,4,0.695958,0.309368,4
10^6,1000000.0,90,147.7097,27.956302,4,105.393325,43.348061,4,225.55285,21.468311,4,1.407,0.365826,4,0.903935,0.187253,4,0.702151,0.318045,4
10^6,1000000.0,95,148.14895,28.120973,4,104.47525,43.603725,4,225.313775,21.512353,4,1.418173,0.378914,4,0.917855,0.186393,4,0.71012,0.325763,4
10^6,1000000.0,100,149.56115,26.978016,4,103.929975,43.641436,4,225.137375,21.542133,4,1.433114,0.397179,4,0.932655,0.183074,4,0.717423,0.332522,4
10^6,1000000.0,105,148.26665,23.507786,4,97.4635,37.077957,4,221.498375,17.340533,4,1.498262,0.414139,4,0.911328,0.257648,4,0.684806,0.373738,4
10^6,1000000.0,110,156.31495,15.200108,4,98.368825,35.07853,4,222.434725,13.367543,4,1.522724,0.435231,4,0.996704,0.165817,4,0.725534,0.33883,4
10^6,1000000.0,115,157.1057,15.018538,4,98.1585,34.68831,4,222.7539,13.877011,4,1.524165,0.436263,4,1.005327,0.170058,4,0.73229,0.345911,4
10^6,1000000.0,120,207.759825,57.531297,4,189.369925,88.646931,4,202.296925,46.861204,4,1.111415,0.559813,4,1.564474,0.72533,4,1.800014,1.287557,4
10^6,1000000.0,125,151.624075,13.246075,4,88.146625,25.678174,4,216.018575,16.20359,4,1.802165,0.396104,4,0.703992,0.067244,4,0.407434,0.108358,4
10^7,10000000.0,0,182.7198,31.616088,4,169.46785,39.572072,4,236.3207,13.109639,4,1.096042,0.095837,4,0.868866,0.218768,4,0.806945,0.254632,4
10^7,10000000.0,5,171.032075,31.175604,4,151.4051,43.373361,4,234.646825,12.666087,4,1.160624,0.173548,4,0.844954,0.198141,4,0.75495,0.26602,4
10^7,10000000.0,10,166.31175,29.688158,4,141.661975,45.55469,4,232.7916,14.459578,4,1.227774,0.27257,4,0.851568,0.198195,4,0.734346,0.284303,4
10^7,10000000.0,15,215.29255,34.49887,4,91.841925,33.709754,4,210.78765,21.785486,4,2.249289,1.001233,4,1.45178,0.148952,4,0.785241,0.457785,4
10^7,10000000.0,20,215.921925,33.560598,4,91.3112,33.692231,4,210.94255,21.67461,4,2.252079,0.993824,4,1.4615,0.15018,4,0.789287,0.462983,4
10^7,10000000.0,25,216.912275,32.480873,4,91.07845,33.235386,4,210.5776,21.827926,4,2.253139,0.977259,4,1.47843,0.1574,4,0.795696,0.466851,4
10^7,10000000.0,30,218.148325,31.381007,4,90.786125,32.835282,4,210.731175,21.973144,4,2.249652,0.955911,4,1.487468,0.159022,4,0.80061,0.473774,4
10^7,10000000.0,35,219.5799,30.172175,4,90.319775,32.486857,4,210.6983,21.722565,4,2.25339,0.936889,4,1.501944,0.167249,4,0.804611,0.478242,4
10^7,10000000.0,40,163.9775,32.403948,4,131.827525,49.326632,4,228.339175,12.06366,4,1.317773,0.371673,4,0.873024,0.205034,4,0.718779,0.30862,4
10^7,10000000.0,45,162.8663,32.936647,4,126.31585,50.349089,4,226.833925,12.907388,4,1.375708,0.423279,4,0.890586,0.209078,4,0.711692,0.323955,4
10^7,10000000.0,50,162.947875,32.322678,4,122.342575,50.446132,4,226.05525,13.616366,4,1.429118,0.463415,4,0.915493,0.210065,4,0.710844,0.334231,4
10^7,10000000.0,55,163.8692,31.964811,4,119.57185,50.531077,4,225.615225,13.951331,4,1.468012,0.478633,4,0.93551,0.215594,4,0.711886,0.347073,4
10^7,10000000.0,60,158.943775,41.620482,4,116.8084,52.146514,4,217.320825,27.157959,4,1.429398,0.368863,4,0.945068,0.226708,4,0.723786,0.344751,4
10^7,10000000.0,65,160.443975,40.812581,4,114.902575,51.893309,4,217.129225,27.109379,4,1.462973,0.385507,4,0.969759,0.234773,4,0.729766,0.358157,4
10^7,10000000.0,70,161.963075,40.353361,4,113.127525,51.62657,4,216.803975,27.119321,4,1.496578,0.405539,4,0.987704,0.230674,4,0.730292,0.362786,4
10^7,10000000.0,75,164.94085,38.26156,4,112.1627,51.653345,4,216.92785,26.379564,4,1.531861,0.432165,4,1.02016,0.229493,4,0.741212,0.374217,4
10^7,10000000.0,80,167.112975,37.145554,4,110.447625,51.591872,4,216.86395,26.466598,4,1.576451,0.463674,4,1.04493,0.224901,4,0.743464,0.382287,4
10^7,10000000.0,85,170.910275,34.577775,4,108.833975,51.591282,4,216.49345,26.183352,4,1.645429,0.52314,4,1.080547,0.21366,4,0.746412,0.392788,4
10^7,10000000.0,90,177.21505,30.140294,4,107.27035,51.76726,4,216.742475,25.90267,4,1.74892,0.619985,4,1.12901,0.193664,4,0.748753,0.405794,4
10^7,10000000.0,95,185.149825,24.587937,4,105.937775,51.723818,4,217.37,25.507637,4,1.873343,0.742085,4,1.190709,0.164557,4,0.753462,0.4172,4
10^7,10000000.0,100,195.6256,16.508971,4,105.365325,50.88811,4,218.795925,24.203436,4,2.006308,0.879133,4,1.257183,0.133564,4,0.757513,0.423085,4
10^7,10000000.0,105,200.3553,24.622454,4,96.34315,48.283988,4,213.7867,28.452182,4,2.242268,1.018593,4,1.266221,0.255403,4,0.707981,0.45815,4
10^7,10000000.0,110,215.742,36.673562,4,98.188675,45.722438,4,214.750575,26.141859,4,2.261048,1.035443,4,1.411378,0.158348,4,0.756404,0.424044,4
10^7,10000000.0,115,217.361625,36.131516,4,98.26645,45.114952,4,214.89965,26.512633,4,2.25449,1.016795,4,1.427428,0.152392,4,0.765399,0.429857,4
10^7,10000000.0,120,214.495375,35.631359,4,92.2065,33.920637,4,210.5066,21.954599,4,2.253446,1.018147,4,1.444802,0.156851,4,0.778751,0.447408,4
10^8 (Positive Control),100000000.0,0,200.50115,28.27506,4,187.46205,26.990937,4,227.781425,14.556578,4,1.073846,0.033147,4,0.986082,0.202722,4,0.921472,0.204285,4
10^8 (Positive Control),100000000.0,5,194.51075,27.090958,4,173.097,28.113493,4,227.5303,15.093373,4,1.125959,0.061341,4,0.990281,0.18618,4,0.887284,0.206474,4
10^8 (Positive Control),100000000.0,10,193.036725,25.506515,4,165.285525,24.462877,4,227.11415,15.503122,4,1.164852,0.065194,4,1.013924,0.195803,4,0.877573,0.206246,4
10^8 (Positive Control),100000000.0,15,248.348075,12.826575,4,128.648975,21.607924,4,210.0939,15.98923,4,1.69246,0.407437,4,1.699596,0.25234,4,1.066004,0.385024,4
10^8 (Positive Control),100000000.0,20,248.02535,13.363141,4,127.649375,22.135996,4,210.123175,15.994349,4,1.693109,0.411539,4,1.703847,0.255121,4,1.071207,0.397663,4
10^8 (Positive Control),100000000.0,25,247.82105,13.742484,4,128.01975,22.362678,4,209.7769,16.026518,4,1.682537,0.417138,4,1.712074,0.254793,4,1.085209,0.405924,4
10^8 (Positive Control),100000000.0,30,247.58725,14.212329,4,128.062,22.516578,4,209.767825,16.019412,4,1.67021,0.421803,4,1.71165,0.260882,4,1.09588,0.41983,4
10^8 (Positive Control),100000000.0,35,247.35525,14.754507,4,127.90725,22.663916,4,209.7188,15.91949,4,1.660422,0.423883,4,1.713937,0.264146,4,1.10577,0.42989,4
10^8 (Positive Control),100000000.0,40,194.85265,29.175729,4,155.83845,29.456615,4,223.851325,14.831076,4,1.240496,0.10239,4,1.058966,0.201464,4,0.865922,0.221712,4
10^8 (Positive Control),100000000.0,45,198.576125,29.478942,4,149.963075,31.56032,4,222.5478,14.61003,4,1.315176,0.151541,4,1.10727,0.203948,4,0.860668,0.237908,4
10^8 (Positive Control),100000000.0,50,208.49595,28.727257,4,145.5402,33.094554,4,221.676525,14.071067,4,1.434142,0.250282,4,1.193381,0.196098,4,0.861535,0.250581,4
10^8 (Positive Control),100000000.0,55,220.768875,19.545661,4,143.80965,32.16185,4,220.98625,13.503959,4,1.545842,0.352235,4,1.28346,0.151733,4,0.871814,0.25492,4
10^8 (Positive Control),100000000.0,60,227.550575,12.871175,4,142.831075,29.481107,4,217.154325,14.33058,4,1.597776,0.38864,4,1.358991,0.110911,4,0.892619,0.240677,4
10^8 (Positive Control),100000000.0,65,231.824675,13.562629,4,142.84835,26.354326,4,217.1584,14.065661,4,1.604341,0.354124,4,1.403289,0.118658,4,0.911437,0.235708,4
10^8 (Positive Control),100000000.0,70,233.633875,13.545707,4,141.945875,24.34315,4,216.897625,13.528394,4,1.608573,0.318172,4,1.426644,0.121709,4,0.9192,0.230453,4
10^8 (Positive Control),100000000.0,75,237.05,13.415885,4,140.9534,23.38002,4,216.684675,12.752129,4,1.622811,0.296743,4,1.46822,0.139055,4,0.935023,0.234682,4
10^8 (Positive Control),100000000.0,80,237.918825,12.201528,4,139.63995,22.297925,4,216.08185,12.06903,4,1.630237,0.277113,4,1.49323,0.143907,4,0.94469,0.237045,4
10^8 (Positive Control),100000000.0,85,239.87745,10.39439,4,137.577,21.270859,4,214.77405,11.62882,4,1.655344,0.257347,4,1.528591,0.151929,4,0.951309,0.244407,4
10^8 (Positive Control),100000000.0,90,242.3402,10.118728,4,135.1666,19.96551,4,212.7698,11.776881,4,1.686388,0.240932,4,1.572689,0.175083,4,0.959752,0.254047,4
10^8 (Positive Control),100000000.0,95,244.482075,11.296798,4,132.200575,18.886245,4,210.0973,11.894347,4,1.72516,0.239249,4,1.628048,0.204192,4,0.971163,0.266464,4
10^8 (Positive Control),100000000.0,100,245.329825,11.736245,4,130.016775,17.894631,4,207.2976,13.205996,4,1.743852,0.238168,4,1.66721,0.232308,4,0.983712,0.277631,4
10^8 (Positive Control),100000000.0,105,245.2447,10.553308,4,124.2136,18.421781,4,206.4664,12.765776,4,1.831867,0.304013,4,1.620756,0.404367,4,0.923006,0.358311,4
10^8 (Positive Control),100000000.0,110,248.807475,11.656026,4,127.8985,17.661168,4,206.1536,12.216374,4,1.754642,0.309523,4,1.714796,0.270345,4,1.009257,0.295124,4
10^8 (Positive Control),100000000.0,115,248.843275,11.84968,4,127.601275,17.988777,4,206.255825,12.271972,4,1.751309,0.321599,4,1.722683,0.280205,4,1.018688,0.310345,4
10^8 (Positive Control),100000000.0,120,248.59085,12.252912,4,128.669225,21.258369,4,209.8959,16.037835,4,1.705125,0.400102,4,1.698413,0.243237,4,1.053852,0.368574,4
