group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
10^1,10.0,20,138.07105,18.888451,4,86.591575,29.582389,4,216.9796,35.307581,4,1.404833,0.267789,4,0.917792,0.114427,4,0.671382,0.142237,4
10^1,10.0,25,137.6637,18.569574,4,86.60225,29.700104,4,216.73865,35.01449,4,1.395046,0.259361,4,0.92004,0.115738,4,0.676859,0.141344,4
10^1,10.0,30,138.178075,18.63776,4,86.501725,29.819064,4,216.78025,35.002131,4,1.392719,0.261691,4,0.923779,0.118421,4,0.68088,0.142681,4
10^1,10.0,35,138.201925,18.503759,4,86.481475,29.810298,4,216.805775,34.852886,4,1.383572,0.258842,4,0.925734,0.119495,4,0.68669,0.143994,4
10^1,10.0,40,161.787175,19.544463,4,139.938,34.793612,4,236.47075,22.157011,4,1.174955,0.216813,4,0.831794,0.121737,4,0.73522,0.204305,4
10^1,10.0,45,157.31295,18.283279,4,131.77015,35.879405,4,236.257325,22.199881,4,1.220956,0.27405,4,0.826521,0.119768,4,0.71162,0.214501,4
10^1,10.0,50,154.221625,16.637974,4,125.166075,37.044837,4,235.0061,21.93943,4,1.27432,0.343216,4,0.833886,0.114585,4,0.697675,0.223735,4
10^1,10.0,55,152.183275,16.164508,4,120.7343,37.596105,4,234.434925,21.515964,4,1.306991,0.383716,4,0.835942,0.113457,4,0.688081,0.229374,4
10^1,10.0,60,147.7414,20.056188,4,117.4157,37.964987,4,229.9015,19.1367,4,1.293061,0.338027,4,0.83455,0.124811,4,0.688088,0.226674,4
10^1,10.0,65,146.25345,19.224624,4,114.70745,37.192956,4,229.511,19.197111,4,1.300991,0.334977,4,0.839239,0.125661,4,0.686646,0.224355,4
10^1,10.0,70,145.3088,18.433356,4,113.161475,36.202096,4,229.3642,19.242262,4,1.300116,0.329427,4,0.840844,0.124015,4,0.687147,0.221791,4
10^1,10.0,75,145.109775,16.96161,4,111.323425,35.467185,4,229.319125,19.243962,4,1.306336,0.326198,4,0.850588,0.118688,4,0.689608,0.21543,4
10^1,10.0,80,144.61835,16.278,4,110.238575,34.853199,4,229.242225,19.262634,4,1.305048,0.320405,4,0.856829,0.117891,4,0.693869,0.213093,4
10^1,10.0,85,144.150975,15.766449,4,109.0512,34.111016,4,229.1875,19.305107,4,1.305037,0.312119,4,0.862046,0.11981,4,0.696418,0.210942,4
10^1,10.0,90,144.114175,15.466003,4,108.04825,33.55007,4,229.2008,19.170582,4,1.305167,0.304238,4,0.868573,0.121001,4,0.699893,0.208429,4
10^1,10.0,95,143.6694,16.07423,4,106.958725,33.224945,4,229.260425,19.206087,4,1.302016,0.28779,4,0.876322,0.12738,4,0.705486,0.207283,4
10^1,10.0,100,144.486425,15.025193,4,106.193825,32.562864,4,229.0848,19.300303,4,1.306647,0.287581,4,0.887006,0.127426,4,0.710689,0.205391,4
10^1,10.0,105,135.272275,17.315656,4,94.655375,27.0701,4,221.32325,32.51731,4,1.350113,0.252994,4,0.828076,0.176615,4,0.631974,0.191047,4
10^1,10.0,110,141.246225,17.530337,4,94.78305,23.867085,4,222.91485,33.208147,4,1.36538,0.30859,4,0.897831,0.097003,4,0.684619,0.171102,4
10^1,10.0,115,141.248875,17.655148,4,94.88525,24.633129,4,222.71095,33.131242,4,1.357366,0.303655,4,0.902625,0.099387,4,0.691996,0.172919,4
10^1,10.0,120,137.582,18.595994,4,87.15885,29.405133,4,216.578425,35.030292,4,1.411681,0.26996,4,0.910673,0.112421,4,0.663245,0.141495,4
10^2,100.0,0,181.29365,12.579796,4,172.3953,15.186387,4,239.53215,17.936928,4,1.057485,0.058382,4,0.843915,0.09671,4,0.80334,0.13239,4
