group,concentration_cfu_ml,time_min,cv_R_mean,cv_R_sd,cv_R_N,cv_G_mean,cv_G_sd,cv_G_N,cv_B_mean,cv_B_sd,cv_B_N,cv_RG_mean,cv_RG_sd,cv_RG_N,cv_RB_mean,cv_RB_sd,cv_RB_N,cv_GB_mean,cv_GB_sd,cv_GB_N,sd_flag_mean,sd_flag_sd,sd_flag_N
10^1,10.0,0.019506,0.052185,0.0,1,0.040495,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^1,10.0,0.065458,0.032137,0.0,1,0.045727,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^1,10.0,0.077553,0.015913,0.0,1,0.087296,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^1,10.0,5,0.042368,0.017145,4,0.065334,0.036837,4,0.003086,0.005321,4,0.019358,0.02704,4,0.020195,0.011822,4,0.03953,0.03586,4,0.0,0.0,4
10^1,10.0,10,0.052969,0.016425,4,0.085951,0.052901,4,0.00226,0.003735,4,0.029318,0.041556,4,0.021358,0.013743,4,0.050189,0.050851,4,0.0,0.0,4
10^1,10.0,15,0.027133,0.054266,4,0.046407,0.092814,4,0.0,0.0,4,0.012144,0.024288,4,0.004266,0.008532,4,0.014762,0.029524,4,0.0,0.0,4
10^1,10.0,20,0.030324,0.060647,4,0.053305,0.10661,4,0.0,0.0,4,0.012807,0.025614,4,0.004013,0.008026,4,0.015756,0.031512,4,0.0,0.0,4
10^1,10.0,25,0.030881,0.061762,4,0.055166,0.110331,4,0.0,0.0,4,0.01235,0.024699,4,0.003732,0.007464,4,0.015406,0.030811,4,0.0,0.0,4
10^1,10.0,30,0.030655,0.06131,4,0.055243,0.110486,4,0.0,0.0,4,0.011663,0.023326,4,0.003521,0.007042,4,0.01476,0.02952,4,0.0,0.0,4
10^1,10.0,35,0.030093,0.060186,4,0.054574,0.109148,4,0.0,0.0,4,0.010952,0.021904,4,0.00334,0.006681,4,0.014018,0.028035,4,0.0,0.0,4
10^1,10.0,40,0.028274,0.056548,4,0.05115,0.1023,4,0.0,0.0,4,0.01047,0.020941,4,0.004476,0.008952,4,0.013206,0.026412,4,0.0,0.0,4
10^1,10.0,45,0.03541,0.037242,4,0.079005,0.066943,4,0.000879,0.001148,4,0.028734,0.024603,4,0.007074,0.00878,4,0.030992,0.022552,4,0.0,0.0,4
10^1,10.0,50,0.035115,0.02856,4,0.086292,0.052356,4,0.003416,0.002972,4,0.037064,0.035528,4,0.011763,0.010142,4,0.03448,0.028444,4,0.0,0.0,4
10^1,10.0,55,0.031147,0.016374,4,0.084044,0.039065,4,0.00419,0.004183,4,0.03863,0.041384,4,0.012794,0.010159,4,0.034344,0.033926,4,0.0,0.0,4
10^1,10.0,60,0.040862,0.011536,4,0.088686,0.04061,4,0.011282,0.01767,4,0.036746,0.03574,4,0.013171,0.009361,4,0.034554,0.031838,4,0.0,0.0,4
10^1,10.0,65,0.043539,0.012236,4,0.091417,0.039663,4,0.013131,0.021009,4,0.036138,0.031252,4,0.013664,0.008128,4,0.034298,0.029333,4,0.0,0.0,4
10^1,10.0,70,0.044414,0.012459,4,0.092044,0.037957,4,0.013802,0.022265,4,0.035394,0.027531,4,0.013077,0.00678,4,0.033409,0.026924,4,0.0,0.0,4
10^1,10.0,75,0.043854,0.011512,4,0.092434,0.036301,4,0.01396,0.02263,4,0.035343,0.024253,4,0.013945,0.005929,4,0.032034,0.024475,4,0.0,0.0,4
10^1,10.0,80,0.042906,0.011177,4,0.092095,0.035034,4,0.013916,0.022624,4,0.034985,0.021571,4,0.01363,0.008611,4,0.029896,0.022737,4,0.0,0.0,4
10^1,10.0,85,0.034332,0.012947,4,0.070136,0.019552,4,0.012665,0.021287,4,0.023925,0.008897,4,0.015074,0.010073,4,0.0185,0.01418,4,0.0,0.0,4
10^1,10.0,90,0.027441,0.012747,4,0.052208,0.007545,4,0.010211,0.01809,4,0.016321,0.002013,4,0.016385,0.010711,4,0.017172,0.014933,4,0.0,0.0,4
10^1,10.0,95,0.02114,0.010742,4,0.040387,0.008592,4,0.007466,0.013235,4,0.015274,0.006421,4,0.018841,0.010351,4,0.019079,0.018355,4,0.0,0.0,4
10^1,10.0,100,0.01266,0.006133,4,0.031752,0.013752,4,0.001288,0.00147,4,0.012169,0.007219,4,0.021753,0.01039,4,0.020617,0.017831,4,0.0,0.0,4
10^1,10.0,105,0.027367,0.038563,4,0.050144,0.054745,4,0.01375,0.025642,4,0.022177,0.022654,4,0.038833,0.027573,4,0.052832,0.026917,4,0.0,0.0,4
10^1,10.0,110,0.048795,0.052013,4,0.063919,0.074808,4,0.020027,0.033619,4,0.026348,0.02971,4,0.043166,0.027606,4,0.058206,0.027905,4,0.25,0.5,4
10^1,10.0,115,0.057296,0.061862,4,0.071082,0.089814,4,0.023317,0.038712,4,0.028068,0.032726,4,0.04419,0.02887,4,0.060864,0.030238,4,0.25,0.5,4
10^1,10.0,120,0.066669,0.061533,4,0.099305,0.094742,4,0.033809,0.038181,4,0.043966,0.03228,4,0.045879,0.029014,4,0.066759,0.027507,4,0.25,0.5,4
10^2,100.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^2,100.0,0.016324,0.083815,0.0,1,0.093995,0.0,1,12.0,0.0,1,,,0,25.0,0.0,1,,,0,,,0
10^2,100.0,0.022245,0.056797,0.0,1,0.038251,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^2,100.0,0.050546,0.022964,0.0,1,0.042058,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^2,100.0,0.115941,0.011477,0.0,1,0.111864,0.0,1,3.0,0.0,1,,,0,110.0,0.0,1,,,0,,,0
10^2,100.0,5,0.042204,0.015753,4,0.063956,0.0135,4,0.003052,0.005713,4,0.018113,0.017374,4,0.02142,0.023665,4,0.037802,0.016214,4,0.0,0.0,4
10^2,100.0,10,0.053134,0.026538,4,0.082983,0.032991,4,0.002549,0.003904,4,0.025987,0.02236,4,0.023236,0.023061,4,0.046935,0.027075,4,0.0,0.0,4
10^2,100.0,15,0.022838,0.045677,4,0.05435,0.1087,4,0.0,0.0,4,0.027808,0.055616,4,0.001374,0.002749,4,0.024083,0.048166,4,0.0,0.0,4
10^2,100.0,20,0.025701,0.051402,4,0.063085,0.12617,4,0.0,0.0,4,0.028899,0.057798,4,0.001582,0.003163,4,0.026436,0.052872,4,0.0,0.0,4
10^2,100.0,25,0.026237,0.052474,4,0.065763,0.131526,4,0.0,0.0,4,0.027794,0.055588,4,0.001621,0.003242,4,0.02636,0.05272,4,0.25,0.5,4
10^2,100.0,30,0.026014,0.052027,4,0.066229,0.132458,4,0.0,0.0,4,0.026387,0.052774,4,0.001627,0.003254,4,0.025643,0.051286,4,0.25,0.5,4
10^2,100.0,35,0.025492,0.050983,4,0.065637,0.131274,4,0.0,0.0,4,0.024912,0.049823,4,0.001619,0.003238,4,0.024611,0.049222,4,0.25,0.5,4
10^2,100.0,40,0.023837,0.047674,4,0.061283,0.122566,4,0.0,0.0,4,0.024196,0.048393,4,0.006058,0.012116,4,0.023057,0.046114,4,0.25,0.5,4
10^2,100.0,45,0.034525,0.031215,4,0.084467,0.085858,4,0.001999,0.002045,4,0.034499,0.033566,4,0.012782,0.020825,4,0.035472,0.031867,4,0.25,0.5,4
10^2,100.0,50,0.035063,0.021005,4,0.090014,0.063662,4,0.004307,0.00376,4,0.04028,0.028492,4,0.017624,0.024061,4,0.038193,0.026983,4,0.25,0.5,4
10^2,100.0,55,0.028676,0.004786,4,0.084877,0.034175,4,0.005496,0.005039,4,0.042662,0.028185,4,0.019373,0.025469,4,0.036988,0.023257,4,0.25,0.5,4
10^2,100.0,60,0.039636,0.014908,4,0.092384,0.035672,4,0.013329,0.018939,4,0.041668,0.023495,4,0.021298,0.024171,4,0.038804,0.023816,4,0.25,0.5,4
10^2,100.0,65,0.043053,0.019404,4,0.095932,0.036319,4,0.015264,0.022605,4,0.040761,0.020316,4,0.022227,0.021306,4,0.038803,0.02391,4,0.25,0.5,4
10^2,100.0,70,0.044576,0.021403,4,0.09766,0.035891,4,0.016028,0.024195,4,0.040218,0.017661,4,0.021488,0.017726,4,0.038153,0.02342,4,0.25,0.5,4
10^2,100.0,75,0.044773,0.020994,4,0.099043,0.035288,4,0.016253,0.024764,4,0.040389,0.015584,4,0.020592,0.012136,4,0.036682,0.022248,4,0.0,0.0,4
10^2,100.0,80,0.044773,0.020322,4,0.100239,0.03442,4,0.016241,0.024978,4,0.040849,0.014207,4,0.0181,0.004555,4,0.034544,0.020271,4,0.0,0.0,4
10^2,100.0,85,0.032128,0.024591,4,0.075829,0.028352,4,0.014548,0.023678,4,0.030246,0.006129,4,0.020592,0.004663,4,0.018383,0.011987,4,0.0,0.0,4
10^2,100.0,90,0.024222,0.022876,4,0.057599,0.017944,4,0.011829,0.020487,4,0.021544,0.004222,4,0.021839,0.004345,4,0.013038,0.01039,4,0.0,0.0,4
10^2,100.0,95,0.017856,0.017564,4,0.044458,0.010694,4,0.008552,0.015355,4,0.018318,0.004375,4,0.023063,0.004103,4,0.014626,0.012195,4,0.0,0.0,4
10^2,100.0,100,0.007526,0.006237,4,0.036099,0.011647,4,0.002092,0.002838,4,0.01471,0.008387,4,0.024829,0.00496,4,0.017215,0.012043,4,0.0,0.0,4
10^2,100.0,105,0.021661,0.034973,4,0.056211,0.054427,4,0.013114,0.02234,4,0.029141,0.033786,4,0.037778,0.02666,4,0.051532,0.031949,4,0.0,0.0,4
10^2,100.0,110,0.042671,0.048331,4,0.068915,0.077213,4,0.017828,0.029996,4,0.037042,0.042964,4,0.042553,0.028434,4,0.058612,0.036013,4,0.25,0.5,4
10^2,100.0,115,0.050577,0.057593,4,0.07627,0.094248,4,0.020649,0.034576,4,0.039626,0.048837,4,0.043862,0.030793,4,0.062863,0.040638,4,0.5,0.57735,4
10^2,100.0,120,0.064178,0.052827,4,0.103129,0.102331,4,0.031272,0.034833,4,0.051264,0.045631,4,0.043763,0.032909,4,0.071542,0.037003,4,0.5,0.57735,4
10^3,1000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
