group,concentration_cfu_ml,time_min,cv_R_mean,cv_R_sd,cv_R_N,cv_G_mean,cv_G_sd,cv_G_N,cv_B_mean,cv_B_sd,cv_B_N,cv_RG_mean,cv_RG_sd,cv_RG_N,cv_RB_mean,cv_RB_sd,cv_RB_N,cv_GB_mean,cv_GB_sd,cv_GB_N,sd_flag_mean,sd_flag_sd,sd_flag_N
10^5,100000.0,5,0.035224,0.013047,4,0.055212,0.023443,4,0.006342,0.004978,4,0.021184,0.019361,4,0.012762,0.010628,4,0.028325,0.017637,4,0.0,0.0,4
10^5,100000.0,10,0.045394,0.011911,4,0.068286,0.021664,4,0.006834,0.005558,4,0.022724,0.023378,4,0.015599,0.010008,4,0.0314,0.014454,4,0.0,0.0,4
10^5,100000.0,15,0.021002,0.042004,4,0.047454,0.094908,4,0.002643,0.005286,4,0.029893,0.059786,4,0.027237,0.054474,4,0.006541,0.013082,4,0.0,0.0,4
10^5,100000.0,20,0.021878,0.043756,4,0.054418,0.108836,4,0.002829,0.005658,4,0.031879,0.063758,4,0.029138,0.058276,4,0.00592,0.01184,4,0.0,0.0,4
10^5,100000.0,25,0.021463,0.042926,4,0.056605,0.11321,4,0.002848,0.005695,4,0.031476,0.062952,4,0.029074,0.058149,4,0.005353,0.010706,4,0.25,0.5,4
10^5,100000.0,30,0.020711,0.041422,4,0.057069,0.114138,4,0.002803,0.005606,4,0.03052,0.061039,4,0.028378,0.056756,4,0.004918,0.009836,4,0.25,0.5,4
10^5,100000.0,35,0.019871,0.039742,4,0.056744,0.113488,4,0.002728,0.005456,4,0.029409,0.058819,4,0.02756,0.055119,4,0.004555,0.00911,4,0.25,0.5,4
10^5,100000.0,40,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^5,100000.0,45,0.013073,0.003839,4,0.029809,0.007703,4,0.004286,0.002334,4,0.013205,0.010561,4,0.007389,0.00479,4,0.008148,0.009116,4,0.0,0.0,4
10^5,100000.0,50,0.016741,0.005162,4,0.039143,0.009852,4,0.004839,0.002382,4,0.018447,0.011952,4,0.010536,0.005754,4,0.009338,0.010451,4,0.0,0.0,4
10^5,100000.0,55,0.019682,0.004281,4,0.04747,0.011097,4,0.004969,0.002503,4,0.021916,0.013067,4,0.011386,0.00476,4,0.013367,0.010545,4,0.0,0.0,4
10^5,100000.0,60,0.0329,0.019486,4,0.060426,0.017502,4,0.014706,0.019979,4,0.023116,0.014658,4,0.01335,0.003481,4,0.014881,0.012149,4,0.0,0.0,4
10^5,100000.0,65,0.036184,0.023428,4,0.068786,0.022708,4,0.016668,0.023399,4,0.025366,0.016114,4,0.015613,0.00356,4,0.017841,0.013106,4,0.0,0.0,4
10^5,100000.0,70,0.037667,0.024994,4,0.074652,0.02646,4,0.017331,0.024573,4,0.027442,0.018043,4,0.016828,0.00378,4,0.020832,0.014468,4,0.0,0.0,4
10^5,100000.0,75,0.036924,0.022778,4,0.078387,0.027807,4,0.017219,0.024231,4,0.030031,0.019402,4,0.020456,0.00447,4,0.02261,0.015247,4,0.0,0.0,4
10^5,100000.0,80,0.036125,0.020776,4,0.081294,0.028735,4,0.016981,0.023716,4,0.031954,0.020438,4,0.023925,0.006057,4,0.02403,0.016155,4,0.0,0.0,4
10^5,100000.0,85,0.029239,0.020655,4,0.069844,0.028239,4,0.014945,0.022272,4,0.028303,0.017928,4,0.025457,0.008627,4,0.023022,0.014583,4,0.0,0.0,4
10^5,100000.0,90,0.023055,0.019249,4,0.058917,0.025444,4,0.012833,0.019735,4,0.025551,0.015477,4,0.02649,0.011249,4,0.02339,0.013196,4,0.0,0.0,4
10^5,100000.0,95,0.01744,0.015478,4,0.047852,0.020417,4,0.009852,0.014763,4,0.024091,0.011846,4,0.028211,0.012046,4,0.023801,0.012308,4,0.0,0.0,4
10^5,100000.0,100,0.012291,0.010686,4,0.034861,0.014841,4,0.00237,0.001668,4,0.022558,0.008226,4,0.029501,0.012299,4,0.02423,0.012451,4,0.0,0.0,4
10^5,100000.0,105,0.010152,0.010594,4,0.035491,0.015066,4,0.004327,0.00331,4,0.027532,0.013612,4,0.04838,0.021164,4,0.043778,0.037287,4,0.0,0.0,4
10^5,100000.0,110,0.022643,0.036937,4,0.039538,0.018058,4,0.008372,0.005486,4,0.02893,0.017677,4,0.054153,0.022113,4,0.045665,0.035645,4,0.25,0.5,4
10^5,100000.0,115,0.026138,0.045426,4,0.041051,0.021723,4,0.009379,0.00678,4,0.029056,0.0203,4,0.055575,0.024022,4,0.045784,0.035705,4,0.25,0.5,4
10^5,100000.0,120,0.041827,0.047281,4,0.062513,0.028855,4,0.019421,0.013707,4,0.027963,0.022172,4,0.05659,0.025745,4,0.045335,0.036516,4,0.25,0.5,4
10^6,1000000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,0.061582,0.113791,0.0,1,0.139342,0.0,1,5.0,0.0,1,,,0,105.0,0.0,1,,,0,,,0
10^6,1000000.0,0.193487,0.390817,0.0,1,0.645525,0.0,1,2.0,0.0,1,,,0,120.0,0.0,1,,,0,,,0
10^6,1000000.0,0.283575,0.463846,0.0,1,0.701299,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^6,1000000.0,0.635805,0.442898,0.0,1,0.945568,0.0,1,1.0,0.0,1,,,0,,,0,,,0,,,0
10^6,1000000.0,5,0.04599,0.030025,4,0.080682,0.036576,4,0.011635,0.00395,4,0.031105,0.029517,4,0.01842,0.024403,4,0.049514,0.027632,4,0.0,0.0,4
10^6,1000000.0,10,0.055605,0.024902,4,0.097512,0.040141,4,0.011761,0.005304,4,0.038163,0.036204,4,0.01819,0.023039,4,0.055803,0.034096,4,0.0,0.0,4
10^6,1000000.0,15,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,20,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,25,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,30,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,35,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,40,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^6,1000000.0,45,0.010634,0.003585,4,0.037446,0.020774,4,0.005108,0.005848,4,0.023286,0.021309,4,0.008798,0.00735,4,0.017459,0.013238,4,0.0,0.0,4
10^6,1000000.0,50,0.012338,0.003824,4,0.048979,0.027739,4,0.005323,0.006623,4,0.032678,0.028516,4,0.01527,0.007252,4,0.021751,0.018428,4,0.0,0.0,4
10^6,1000000.0,55,0.013108,0.002832,4,0.056768,0.032871,4,0.005614,0.007128,4,0.037588,0.031662,4,0.018233,0.004981,4,0.026498,0.021995,4,0.0,0.0,4
10^6,1000000.0,60,0.031212,0.036973,4,0.066795,0.045011,4,0.018423,0.032338,4,0.037649,0.028579,4,0.022319,0.002908,4,0.027736,0.019158,4,0.0,0.0,4
10^6,1000000.0,65,0.034155,0.043763,4,0.07255,0.04965,4,0.02145,0.037985,4,0.038532,0.028031,4,0.02594,0.003399,4,0.029852,0.016759,4,0.0,0.0,4
10^6,1000000.0,70,0.034765,0.045986,4,0.076165,0.051618,4,0.022603,0.040095,4,0.039649,0.028998,4,0.028215,0.005915,4,0.031314,0.015432,4,0.0,0.0,4
10^6,1000000.0,75,0.033149,0.044017,4,0.077916,0.052181,4,0.02284,0.040084,4,0.041359,0.029981,4,0.033334,0.00603,4,0.03434,0.014871,4,0.0,0.0,4
10^6,1000000.0,80,0.03156,0.041767,4,0.079488,0.052553,4,0.022886,0.039582,4,0.043695,0.031574,4,0.038345,0.00619,4,0.037586,0.015344,4,0.0,0.0,4
10^6,1000000.0,85,0.026498,0.039171,4,0.062987,0.042809,4,0.021152,0.036071,4,0.038434,0.029102,4,0.040178,0.007682,4,0.037224,0.012697,4,0.0,0.0,4
10^6,1000000.0,90,0.023038,0.034721,4,0.049669,0.035295,4,0.018834,0.030966,4,0.036601,0.026991,4,0.041503,0.010126,4,0.038997,0.012242,4,0.0,0.0,4
10^6,1000000.0,95,0.019892,0.027468,4,0.039672,0.030887,4,0.014989,0.022689,4,0.036276,0.0248,4,0.043294,0.012761,4,0.039346,0.012881,4,0.0,0.0,4
10^6,1000000.0,100,0.017134,0.019704,4,0.028817,0.031145,4,0.003372,0.003669,4,0.034572,0.023818,4,0.045058,0.015966,4,0.037032,0.013327,4,0.0,0.0,4
10^6,1000000.0,105,0.018806,0.019418,4,0.038008,0.033359,4,0.008338,0.008579,4,0.043297,0.026485,4,0.05622,0.020007,4,0.055028,0.038009,4,0.25,0.5,4
10^6,1000000.0,110,0.035981,0.051372,4,0.050293,0.03363,4,0.012988,0.010398,4,0.049292,0.025177,4,0.065245,0.027324,4,0.055757,0.036393,4,0.25,0.5,4
10^6,1000000.0,115,0.041849,0.061814,4,0.05508,0.036181,4,0.01442,0.012281,4,0.050602,0.024726,4,0.067964,0.031375,4,0.05432,0.035365,4,0.5,0.57735,4
10^6,1000000.0,120,0.043637,0.078508,4,0.082076,0.127592,4,0.02668,0.047439,4,0.042178,0.05232,4,0.10942,0.164362,4,0.16914,0.276592,4,0.5,0.57735,4
10^6,1000000.0,125,0.151269,0.111645,4,0.374836,0.25597,4,0.082442,0.060265,4,0.293612,0.245669,4,0.352838,0.162295,4,0.607934,0.33848,4,0.5,0.57735,4
10^7,10000000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,0.005196,0.042129,0.0,1,0.042962,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^7,10000000.0,0.133328,0.071162,0.0,1,0.064646,0.0,1,4.0,0.0,1,,,0,105.0,0.0,1,,,0,,,0
10^7,10000000.0,0.16205,0.17449,0.0,1,0.106813,0.0,1,12.0,0.0,1,,,0,65.0,0.0,1,,,0,,,0
10^7,10000000.0,0.188862,0.228641,0.0,1,0.049418,0.0,1,11.0,0.0,1,,,0,70.0,0.0,1,,,0,,,0
10^7,10000000.0,5,0.047613,0.021865,4,0.087906,0.048212,4,0.013412,0.006624,4,0.040773,0.038398,4,0.01996,0.014498,4,0.054114,0.03698,4,0.0,0.0,4
10^7,10000000.0,10,0.049662,0.024556,4,0.104529,0.069527,4,0.01541,0.009824,4,0.05346,0.060327,4,0.017296,0.011986,4,0.060678,0.054306,4,0.0,0.0,4
10^7,10000000.0,15,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,20,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,25,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,30,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,35,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,40,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^7,10000000.0,45,0.005281,0.007466,4,0.035446,0.021681,4,0.005,0.006679,4,0.026711,0.020481,4,0.014147,0.011795,4,0.018964,0.013699,4,0.0,0.0,4
10^7,10000000.0,50,0.00757,0.005798,4,0.043508,0.024622,4,0.005497,0.007053,4,0.036014,0.025165,4,0.024599,0.013602,4,0.02054,0.016333,4,0.0,0.0,4
10^7,10000000.0,55,0.007228,0.004914,4,0.049028,0.027592,4,0.005629,0.007433,4,0.042423,0.029206,4,0.031369,0.01021,4,0.023392,0.018173,4,0.0,0.0,4
10^7,10000000.0,60,0.026092,0.037781,4,0.057241,0.033644,4,0.021176,0.037998,4,0.046931,0.03317,4,0.035745,0.003084,4,0.03002,0.018841,4,0.0,0.0,4
10^7,10000000.0,65,0.029659,0.041587,4,0.062227,0.03698,4,0.024752,0.044757,4,0.050284,0.036487,4,0.040978,0.00242,4,0.034287,0.020309,4,0.25,0.5,4
10^7,10000000.0,70,0.031122,0.040304,4,0.066169,0.039035,4,0.026255,0.047066,4,0.053226,0.040211,4,0.045842,0.004353,4,0.036929,0.021933,4,0.5,0.57735,4
10^7,10000000.0,75,0.031484,0.035802,4,0.06867,0.040839,4,0.026696,0.046989,4,0.056073,0.044176,4,0.054316,0.002627,4,0.041752,0.024103,4,0.5,0.57735,4
10^7,10000000.0,80,0.032303,0.031739,4,0.071577,0.043225,4,0.026762,0.046369,4,0.060372,0.049646,4,0.062591,0.007012,4,0.046079,0.026871,4,0.5,0.57735,4
10^7,10000000.0,85,0.036535,0.030132,4,0.059491,0.037599,4,0.024782,0.042468,4,0.060561,0.051094,4,0.067447,0.013733,4,0.045633,0.025753,4,0.5,0.57735,4
10^7,10000000.0,90,0.046006,0.035339,4,0.052563,0.03723,4,0.021801,0.036691,4,0.069265,0.058058,4,0.076168,0.025997,4,0.046002,0.026312,4,0.5,0.57735,4
10^7,10000000.0,95,0.061349,0.049615,4,0.047747,0.038258,4,0.016853,0.027098,4,0.084349,0.070032,4,0.090422,0.04286,4,0.044423,0.025919,4,0.5,0.57735,4
10^7,10000000.0,100,0.083556,0.074946,4,0.039786,0.041122,4,0.006048,0.005469,4,0.101916,0.084858,4,0.106694,0.062381,4,0.037854,0.025447,4,0.5,0.57735,4
10^7,10000000.0,105,0.106258,0.095553,4,0.055962,0.053096,4,0.018879,0.019414,4,0.129763,0.096292,4,0.113558,0.076733,4,0.05937,0.041181,4,0.75,0.5,4
10^7,10000000.0,110,0.130086,0.126483,4,0.0737,0.056915,4,0.025804,0.02716,4,0.137526,0.09793,4,0.131988,0.091878,4,0.062922,0.034346,4,0.75,0.5,4
10^7,10000000.0,115,0.134187,0.130096,4,0.079351,0.067793,4,0.029236,0.03144,4,0.13349,0.092239,4,0.13417,0.092982,4,0.063614,0.031557,4,0.75,0.5,4
10^7,10000000.0,120,0.12932,0.122102,4,0.090024,0.068253,4,0.036533,0.028055,4,0.122359,0.081334,4,0.129105,0.087349,4,0.06596,0.028713,4,0.75,0.5,4
10^8 (Positive Control),100000000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,0.014737,0.085194,0.0,1,0.093886,0.0,1,9.0,0.0,1,,,0,65.0,0.0,1,,,0,,,0
10^8 (Positive Control),100000000.0,0.052701,0.054614,0.0,1,0.078488,0.0,1,4.0,0.0,1,,,0,75.0,0.0,1,,,0,,,0
10^8 (Positive Control),100000000.0,0.056639,0.01709,0.0,1,0.059951,0.0,1,5.0,0.0,1,,,0,65.0,0.0,1,,,0,,,0
10^8 (Positive Control),100000000.0,0.139381,0.109393,0.0,1,0.03607,0.0,1,9.0,0.0,1,,,0,80.0,0.0,1,,,0,,,0
10^8 (Positive Control),100000000.0,5,0.021288,0.005196,4,0.057894,0.014782,4,0.006179,0.004204,4,0.032961,0.021667,4,0.010481,0.0069,4,0.02812,0.011325,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,10,0.02002,0.006932,4,0.06557,0.014505,4,0.007152,0.002938,4,0.041617,0.022376,4,0.017814,0.009281,4,0.02724,0.012437,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,15,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,20,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,25,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,30,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,35,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,40,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,45,0.013772,0.011717,4,0.029664,0.017566,4,0.004101,0.003678,4,0.039585,0.024106,4,0.032122,0.016076,4,0.013953,0.012598,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,50,0.036371,0.037905,4,0.037837,0.02419,4,0.004982,0.005156,4,0.069026,0.048445,4,0.062895,0.04229,4,0.018366,0.017615,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,55,0.06139,0.054534,4,0.03976,0.024062,4,0.006419,0.007548,4,0.090768,0.068359,4,0.090721,0.056037,4,0.023746,0.015443,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,60,0.074578,0.067765,4,0.040975,0.017169,4,0.012606,0.019664,4,0.098021,0.072403,4,0.109709,0.068508,4,0.026006,0.01527,4,0.0,0.0,4
10^8 (Positive Control),100000000.0,65,0.079463,0.071195,4,0.04247,0.013701,4,0.013912,0.022133,4,0.098368,0.065427,4,0.118517,0.068778,4,0.031545,0.020386,4,0.5,0.57735,4
10^8 (Positive Control),100000000.0,70,0.080541,0.068742,4,0.044798,0.011789,4,0.014539,0.022473,4,0.097389,0.056781,4,0.12162,0.064053,4,0.035374,0.025314,4,0.5,0.57735,4
10^8 (Positive Control),100000000.0,75,0.08133,0.064279,4,0.046491,0.01005,4,0.014792,0.021795,4,0.096807,0.049059,4,0.124891,0.057463,4,0.039625,0.02854,4,0.75,0.5,4
10^8 (Positive Control),100000000.0,80,0.081098,0.059615,4,0.04846,0.008411,4,0.015172,0.021046,4,0.09616,0.042955,4,0.126962,0.050877,4,0.043027,0.031087,4,1.0,0.0,4
10^8 (Positive Control),100000000.0,85,0.069575,0.047266,4,0.044663,0.00834,4,0.014972,0.017521,4,0.076959,0.029749,4,0.110104,0.035308,4,0.044916,0.03445,4,1.0,0.0,4
10^8 (Positive Control),100000000.0,90,0.053065,0.035062,4,0.045196,0.009719,4,0.015849,0.012435,4,0.058001,0.036193,4,0.090758,0.025624,4,0.044002,0.035078,4,0.5,0.57735,4
10^8 (Positive Control),100000000.0,95,0.03919,0.022096,4,0.045486,0.007739,4,0.017125,0.0092,4,0.050171,0.048234,4,0.076691,0.030995,4,0.039834,0.031995,4,0.25,0.5,4
10^8 (Positive Control),100000000.0,100,0.02929,0.026953,4,0.041287,0.014828,4,0.017248,0.015469,4,0.051261,0.053414,4,0.068538,0.044977,4,0.033781,0.02569,4,0.25,0.5,4
10^8 (Positive Control),100000000.0,105,0.025232,0.027736,4,0.046572,0.03488,4,0.020132,0.01857,4,0.055131,0.068522,4,0.081197,0.040278,4,0.047693,0.032651,4,0.25,0.5,4
10^8 (Positive Control),100000000.0,110,0.024684,0.026212,4,0.052683,0.0417,4,0.022046,0.019093,4,0.057579,0.071109,4,0.079431,0.042233,4,0.057086,0.025583,4,0.5,0.57735,4
10^8 (Positive Control),100000000.0,115,0.02154,0.024419,4,0.056054,0.045137,4,0.021963,0.018805,4,0.057909,0.067539,4,0.073617,0.043187,4,0.0609,0.023914,4,0.5,0.57735,4
10^8 (Positive Control),100000000.0,120,0.019191,0.020851,4,0.056305,0.045746,4,0.020237,0.01695,4,0.065864,0.052526,4,0.066573,0.039883,4,0.067099,0.024907,4,0.75,0.5,4
