group,concentration_cfu_ml,time_min,weighted_score_mean,weighted_score_sd,weighted_score_N
10^4,10000.0,85,1.5,1.0,4
10^4,10000.0,90,2.0,1.632993,4
10^4,10000.0,95,2.0,1.632993,4
10^4,10000.0,100,1.5,1.914854,4
10^4,10000.0,105,0.5,1.0,4
10^4,10000.0,110,1.5,1.914854,4
10^4,10000.0,115,1.5,1.914854,4
10^4,10000.0,120,1.5,1.732051,4
10^5,100000.0,0,0.0,0.0,4
10^5,100000.0,5,0.0,0.0,4
10^5,100000.0,8.0,0.0,0.0,1
10^5,100000.0,10,0.0,0.0,4
10^5,100000.0,12.0,0.0,0.0,1
10^5,100000.0,15,0.0,0.0,4
10^5,100000.0,18.0,0.0,0.0,1
10^5,100000.0,20,0.0,0.0,4
10^5,100000.0,25,0.0,0.0,4
10^5,100000.0,30,0.0,0.0,4
10^5,100000.0,35,0.0,0.0,4
10^5,100000.0,40,0.0,0.0,4
10^5,100000.0,45,0.0,0.0,4
10^5,100000.0,49.0,0.0,0.0,1
10^5,100000.0,50,1.5,1.914854,4
10^5,100000.0,55,1.5,1.914854,4
10^5,100000.0,60,1.5,1.914854,4
10^5,100000.0,65,1.0,2.0,4
10^5,100000.0,70,1.0,2.0,4
10^5,100000.0,75,1.5,1.914854,4
10^5,100000.0,80,2.0,1.632993,4
10^5,100000.0,85,1.5,1.914854,4
10^5,100000.0,90,1.5,1.914854,4
10^5,100000.0,95,1.5,1.914854,4
10^5,100000.0,100,1.5,1.914854,4
10^5,100000.0,105,1.0,1.154701,4
10^5,100000.0,110,1.25,1.5,4
10^5,100000.0,115,1.75,1.707825,4
10^5,100000.0,120,1.75,1.707825,4
10^6,1000000.0,0,0.0,0.0,4
10^6,1000000.0,5,0.0,0.0,4
10^6,1000000.0,10,0.0,0.0,4
10^6,1000000.0,15,0.0,0.0,4
10^6,1000000.0,20,0.0,0.0,4
10^6,1000000.0,22.0,0.0,0.0,1
10^6,1000000.0,25,0.0,0.0,4
10^6,1000000.0,27.0,0.0,0.0,1
10^6,1000000.0,30,0.0,0.0,4
10^6,1000000.0,30.0,1.0,0.0,1
10^6,1000000.0,35,0.0,0.0,4
10^6,1000000.0,40,0.0,0.0,4
10^6,1000000.0,45,0.0,0.0,4
10^6,1000000.0,50,1.0,1.154701,4
10^6,1000000.0,50.0,3.0,0.0,1
10^6,1000000.0,55,1.0,1.154701,4
10^6,1000000.0,60,0.5,1.0,4
10^6,1000000.0,65,1.5,1.0,4
10^6,1000000.0,70,1.25,0.957427,4
10^6,1000000.0,75,2.25,0.5,4
10^6,1000000.0,80,3.5,1.914854,4
10^6,1000000.0,85,3.0,2.0,4
10^6,1000000.0,90,2.5,1.0,4
10^6,1000000.0,95,2.5,1.0,4
10^6,1000000.0,100,2.0,1.632993,4
10^6,1000000.0,105,2.75,0.957427,4
10^6,1000000.0,110,3.0,1.154701,4
10^6,1000000.0,115,2.25,1.707825,4
10^6,1000000.0,120,0.0,0.0,4
10^6,1000000.0,125,3.25,3.201562,4
10^7,10000000.0,0,0.0,0.0,4
10^7,10000000.0,5,0.0,0.0,4
10^7,10000000.0,10,0.0,0.0,4
10^7,10000000.0,15,0.0,0.0,4
10^7,10000000.0,20,0.0,0.0,4
10^7,10000000.0,25,0.0,0.0,4
10^7,10000000.0,26.0,0.0,0.0,1
10^7,10000000.0,30,0.0,0.0,4
10^7,10000000.0,35,0.0,0.0,4
10^7,10000000.0,37.0,0.0,0.0,1
10^7,10000000.0,40,0.0,0.0,4
10^7,10000000.0,41.0,1.0,0.0,1
10^7,10000000.0,45,0.0,0.0,4
10^7,10000000.0,50,2.5,1.0,4
10^7,10000000.0,52.0,3.0,0.0,1
10^7,10000000.0,55,1.5,1.0,4
10^7,10000000.0,60,1.5,1.0,4
10^7,10000000.0,65,2.0,0.0,4
10^7,10000000.0,70,1.25,0.957427,4
10^7,10000000.0,75,3.5,1.914854,4
10^7,10000000.0,80,2.5,2.516611,4
10^7,10000000.0,85,3.5,1.0,4
10^7,10000000.0,90,3.0,2.0,4
10^7,10000000.0,95,4.0,0.0,4
10^7,10000000.0,100,4.0,0.0,4
10^7,10000000.0,105,2.25,1.707825,4
10^7,10000000.0,110,2.75,2.217356,4
10^7,10000000.0,115,2.0,2.44949,4
10^7,10000000.0,120,2.75,0.957427,4
10^8 (Positive Control),100000000.0,0,0.0,0.0,4
10^8 (Positive Control),100000000.0,5,0.0,0.0,4
10^8 (Positive Control),100000000.0,10,0.0,0.0,4
10^8 (Positive Control),100000000.0,15,0.0,0.0,4
10^8 (Positive Control),100000000.0,20,0.0,0.0,4
10^8 (Positive Control),100000000.0,25,0.0,0.0,4
10^8 (Positive Control),100000000.0,30,0.0,0.0,4
10^8 (Positive Control),100000000.0,35,0.0,0.0,4
10^8 (Positive Control),100000000.0,40,0.0,0.0,4
10^8 (Positive Control),100000000.0,45,0.0,0.0,4
10^8 (Positive Control),100000000.0,45.0,3.0,0.0,1
10^8 (Positive Control),100000000.0,50,4.0,0.0,4
10^8 (Positive Control),100000000.0,51.0,2.0,0.0,1
10^8 (Positive Control),100000000.0,55,4.5,1.0,4
10^8 (Positive Control),100000000.0,55.0,1.0,0.0,1
10^8 (Positive Control),100000000.0,57.0,1.0,0.0,1
10^8 (Positive Control),100000000.0,60,4.0,1.632993,4
10^8 (Positive Control),100000000.0,65,4.25,0.5,4
10^8 (Positive Control),100000000.0,70,3.5,1.0,4
10^8 (Positive Control),100000000.0,75,3.75,0.5,4
10^8 (Positive Control),100000000.0,80,4.0,1.632993,4
10^8 (Positive Control),100000000.0,85,4.0,1.632993,4
10^8 (Positive Control),100000000.0,90,4.5,1.0,4
10^8 (Positive Control),100000000.0,95,3.5,1.0,4
10^8 (Positive Control),100000000.0,100,3.5,1.0,4
10^8 (Positive Control),100000000.0,105,3.0,2.0,4
10^8 (Positive Control),100000000.0,110,2.25,2.629956,4
10^8 (Positive Control),100000000.0,115,2.25,1.707825,4
10^8 (Positive Control),100000000.0,120,1.0,1.414214,4
